* De conditionele kans op overschrijding van windsnelheid u gegeven de windrichting r.                                                                                
* voor 12-uursmaxima te Schiphol. 
*
* Onderstaande tabel is afkomstig uit bijlage G van:               
* Wind-waterstandstatistiek Hoek van Holland. C.P.M. Geerse (RIZA), M.T. Duits (HKV),
* H.J. Kalk (HKV), I.B.M. Lammers, (HKV). RIZA/HKV rapport, Lelystad, juli 2002.
*
* De tabel is gebaseerd op overschrijdingskansen op basis van KNMI data voor lage 
* windsnelheden en Rijkoort Weibull voor hoge windsnelheden 
*  
* De overgang tussen KNMI-uur data bij lage windsnelheden en Rijkoort Weibull verdelingen
* voor hoge windsnelheden is aangebracht bij een terugkeertijd van ongeveer eens in de 10 
* jaar en is in Excel gedaan. De overgangen zijn geleidelijk!
*
* Voor het klimaatscenario van dit bestand is vervolgens 5 procent meer wind verondersteld 
*
*u     NNO          NO           ONO          O            OZO          ZO           ZZO          Z            ZZW          ZW           WZW          W            WNW          NW           NNW          N
10     1.24E-01     1.87E-01     2.18E-01     9.85E-02     3.16E-02     5.51E-02     1.03E-01     1.69E-01     3.25E-01     4.45E-01     4.85E-01     4.53E-01     4.08E-01     3.28E-01     1.99E-01     1.19E-01
11     7.97E-02     1.12E-01     1.35E-01     6.10E-02     1.49E-02     2.59E-02     5.56E-02     1.13E-01     2.39E-01     3.69E-01     4.02E-01     3.76E-01     3.25E-01     2.53E-01     1.37E-01     8.76E-02
12     4.54E-02     6.26E-02     7.24E-02     3.61E-02     9.95E-03     1.35E-02     2.84E-02     7.52E-02     1.66E-01     2.97E-01     3.24E-01     3.06E-01     2.55E-01     1.86E-01     9.19E-02     6.36E-02
13     2.49E-02     3.16E-02     2.96E-02     1.83E-02     7.55E-03     8.90E-03     1.62E-02     4.67E-02     1.17E-01     2.28E-01     2.55E-01     2.40E-01     1.85E-01     1.32E-01     6.16E-02     4.11E-02
14     1.28E-02     1.34E-02     1.11E-02     8.83E-03     5.45E-03     6.37E-03     1.03E-02     2.78E-02     8.10E-02     1.66E-01     1.88E-01     1.74E-01     1.24E-01     8.65E-02     4.15E-02     2.00E-02
15     6.09E-03     6.13E-03     6.28E-03     4.73E-03     3.67E-03     4.31E-03     5.81E-03     1.73E-02     5.27E-02     1.25E-01     1.31E-01     1.17E-01     8.31E-02     5.56E-02     3.02E-02     8.08E-03
16     3.10E-03     3.15E-03     3.28E-03     2.35E-03     1.78E-03     1.98E-03     3.74E-03     1.07E-02     3.50E-02     9.17E-02     9.05E-02     7.89E-02     5.69E-02     4.11E-02     1.95E-02     4.55E-03
17     1.49E-03     1.51E-03     1.59E-03     1.08E-03     7.43E-04     8.25E-04     1.95E-03     6.17E-03     2.15E-02     6.04E-02     6.30E-02     5.57E-02     4.14E-02     2.60E-02     1.14E-02     2.46E-03
18     6.88E-04     6.77E-04     7.19E-04     4.57E-04     2.84E-04     3.16E-04     9.76E-04     3.36E-03     1.32E-02     4.12E-02     4.40E-02     3.76E-02     3.17E-02     1.57E-02     6.82E-03     1.29E-03
19     3.03E-04     2.83E-04     3.02E-04     1.79E-04     1.00E-04     1.13E-04     4.66E-04     1.73E-03     7.83E-03     2.68E-02     2.70E-02     2.35E-02     1.95E-02     8.86E-03     4.25E-03     6.55E-04
20     1.29E-04     1.11E-04     1.18E-04     6.45E-05     3.25E-05     3.72E-05     2.14E-04     8.45E-04     5.06E-03     1.75E-02     1.67E-02     1.42E-02     1.16E-02     6.05E-03     2.55E-03     3.23E-04
21     5.36E-05     4.08E-05     4.32E-05     2.15E-05     9.69E-06     1.13E-05     9.43E-05     3.92E-04     3.16E-03     1.00E-02     1.00E-02     1.00E-02     6.74E-03     4.07E-03     1.50E-03     1.54E-04
22     2.16E-05     1.40E-05     1.47E-05     6.58E-06     2.67E-06     3.19E-06     3.97E-05     1.71E-04     1.91E-03     7.31E-03     4.74E-03     6.32E-03     4.65E-03     2.69E-03     8.52E-04     7.09E-05
23     8.49E-06     4.52E-06     4.67E-06     1.86E-06     6.82E-07     8.28E-07     1.60E-05     7.08E-05     1.12E-03     4.06E-03     3.08E-03     4.29E-03     3.14E-03     1.76E-03     4.77E-04     3.15E-05
24     3.27E-06     1.36E-06     1.38E-06     4.90E-07     1.63E-07     2.00E-07     6.15E-06     2.78E-05     6.36E-04     2.87E-03     1.98E-03     2.87E-03     2.09E-03     1.14E-03     2.61E-04     1.34E-05
25     1.23E-06     3.83E-07     3.83E-07     1.20E-07     3.65E-08     4.47E-08     2.24E-06     1.03E-05     3.52E-04     8.96E-04     1.25E-03     1.88E-03     1.37E-03     7.31E-04     1.40E-04     5.53E-06
26     4.54E-07     1.01E-07     9.92E-08     2.73E-08     7.71E-09     9.28E-09     7.78E-07     3.60E-06     1.90E-04     4.54E-04     7.80E-04     1.23E-03     8.88E-04     4.63E-04     7.44E-05     2.20E-06
27     1.64E-07     2.50E-08     2.39E-08     5.80E-09     1.52E-09     1.77E-09     2.55E-07     1.19E-06     9.94E-05     2.66E-04     4.78E-04     7.82E-04     5.66E-04     2.90E-04     3.86E-05     8.37E-07
28     5.78E-08     5.77E-09     5.40E-09     1.15E-09     2.87E-10     3.08E-10     7.92E-08     3.70E-07     5.08E-05     1.54E-04     2.88E-04     4.94E-04     3.55E-04     1.79E-04     1.97E-05     3.07E-07
29     1.97E-08     1.25E-09     1.15E-09     2.31E-10     5.48E-11     5.04E-11     2.31E-08     1.08E-07     2.53E-05     8.74E-05     1.71E-04     3.08E-04     2.20E-04     1.09E-04     9.80E-06     1.08E-07
30     6.56E-09     2.51E-10     2.22E-10     0.00E+00     0.00E+00     0.00E+00     6.36E-09     2.98E-08     1.23E-05     4.89E-05     1.00E-04     1.90E-04     1.34E-04     6.56E-05     4.78E-06     3.66E-08
31     2.11E-09     3.35E-11     1.85E-11     0.00E+00     0.00E+00     0.00E+00     1.65E-09     7.72E-09     5.80E-06     2.71E-05     5.81E-05     1.17E-04     8.09E-05     3.90E-05     2.28E-06     1.19E-08
32     6.53E-10     3.05E-12     0.00E+00     0.00E+00     0.00E+00     0.00E+00     4.00E-10     1.88E-09     2.66E-06     1.48E-05     3.31E-05     7.05E-05     4.81E-05     2.28E-05     1.07E-06     3.71E-09
33     1.96E-10     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     8.98E-11     4.21E-10     1.19E-06     7.90E-06     1.86E-05     4.22E-05     2.82E-05     1.31E-05     4.87E-07     1.13E-09
34     4.29E-11     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     1.60E-11     7.51E-11     5.18E-07     4.19E-06     1.03E-05     2.50E-05     1.62E-05     7.44E-06     2.17E-07     2.47E-10
35     2.72E-12     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     2.20E-07     2.19E-06     5.67E-06     1.46E-05     9.26E-06     4.16E-06     9.45E-08     1.56E-11
36     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     9.06E-08     1.13E-06     3.07E-06     8.48E-06     5.21E-06     2.29E-06     4.03E-08     0.00E+00
37     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     3.62E-08     5.71E-07     1.65E-06     4.87E-06     2.89E-06     1.25E-06     1.68E-08     0.00E+00
38     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     1.41E-08     2.85E-07     8.72E-07     2.76E-06     1.58E-06     6.66E-07     6.80E-09     0.00E+00
39     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     5.33E-09     1.40E-07     4.57E-07     1.56E-06     8.56E-07     3.51E-07     2.69E-09     0.00E+00
40     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     1.96E-09     6.80E-08     2.38E-07     8.61E-07     4.57E-07     1.82E-07     1.03E-09     0.00E+00
41     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     6.93E-10     3.24E-08     1.22E-07     4.71E-07     2.41E-07     9.34E-08     0.00E+00     0.00E+00
42     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     2.37E-10     1.52E-08     6.20E-08     2.55E-07     1.25E-07     4.70E-08     0.00E+00     0.00E+00
43     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     8.35E-11     6.98E-09     3.12E-08     1.36E-07     6.43E-08     2.33E-08     0.00E+00     0.00E+00
44     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     0.00E+00     4.32E-11     3.16E-09     1.55E-08     7.18E-08     3.26E-08     1.15E-08     0.00E+00     0.00E+00
