feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17
-20,10,0,0,0,0,-10,0,16.61111111,24,0,0,0,0,400,0,0,0
30,100,500,1000,20,360,40,200,21,30,7,7,1,40,2000,90152330,672,5037597
