,connected,bipartite,chordal,cubic,eulerian,planar,regular,subcubic,tree,K_4_free,triangle_free,claw_free,cograph,nontrivial,order,size,maximum_degree,minimum_degree,diameter,radius,clique_number,chromatic_number,independence_number,vertex_cover_number,matching_number,triameter,slater,annihilation_number,residue,harmonic_index,domination_number,total_domination_number,independent_domination_number,min_maximal_matching_number,spectral_radius,largest_laplacian_eigenvalue,second_largest_adjacency_eigenvalue,zero_forcing_number
0,True,True,True,False,False,True,False,True,True,True,True,True,False,True,8,7,3,1,5,3,2,2,5,3,3,12,2,5,4,3.3666666666666667,3,4,3,2,2.0420789618979103,4.476346575379798,1.5202328168625947,3
1,True,True,True,False,False,True,False,False,True,True,True,True,False,True,8,7,6,1,3,2,2,2,6,2,2,8,2,6,6,2.345238095238095,2,2,2,1,2.488489984622652,7.034041835803489,0.8985641860394549,5
2,True,True,True,False,False,True,False,False,True,True,True,True,False,True,8,7,4,1,5,3,2,2,5,3,3,12,2,5,4,3.2,2,4,2,2,2.1119907362530643,5.097866790222838,1.4963700338674772,3
3,True,True,False,False,True,True,False,False,False,True,True,True,False,True,10,12,6,2,4,2,2,2,6,4,4,12,2,6,4,4.5,4,4,4,4,2.828427124746191,7.236067977499781,1.4142135623730951,4
4,True,False,False,True,False,True,True,True,False,True,False,True,False,True,16,24,3,3,6,3,3,3,7,9,7,18,4,8,4,8.0,4,6,4,6,2.9999999999999982,5.561552812808829,2.855772506635987,8
5,True,False,False,False,False,True,False,True,False,True,True,True,False,True,11,14,3,2,4,3,2,3,5,6,5,9,3,6,4,5.366666666666667,3,5,3,3,2.6472764830435493,5.316693302002684,1.777406294375739,3
6,True,True,True,False,False,True,False,False,True,True,True,True,False,True,9,8,4,1,4,2,2,2,6,3,3,10,2,6,5,3.3190476190476192,3,3,3,2,2.255245041597806,5.331354008483913,1.558206254538788,4
7,True,True,True,False,False,True,False,False,True,True,True,True,False,True,9,8,5,1,4,2,2,2,5,4,4,12,2,6,5,3.5238095238095237,4,4,4,3,2.3760789782885166,6.147430233697751,1.0000000000000004,4
8,True,False,False,True,False,True,True,True,False,True,False,True,False,True,12,18,3,3,4,3,3,3,5,7,6,9,3,6,3,6.0,3,4,3,4,2.9999999999999982,5.768898470913941,2.279290967360759,4
9,True,True,False,False,False,True,False,True,False,True,True,True,False,True,7,8,3,2,3,3,2,2,4,3,3,8,2,4,3,3.4000000000000004,2,4,2,2,2.3582944711822638,4.860805853111701,1.1993528201455854,3
