,n,is_even,is_prime,is_square,is_fibonacci,sqrt_n,log_n,prime_factor_count,largest_prime_factor,divisor_count,sum_divisors,totient,is_perfect,is_palindrome,is_power_of_two,collatz_steps
0,1,False,False,True,True,1.0,0.0,0,,1,1,1,False,True,True,0
1,2,True,True,False,True,1.4142135623730951,0.6931471805599453,1,2.0,2,3,1,False,True,True,1
2,3,False,True,False,True,1.7320508075688772,1.0986122886681098,1,3.0,2,4,2,False,True,False,7
3,4,True,False,True,False,2.0,1.3862943611198906,2,2.0,3,7,2,False,True,True,2
4,5,False,True,False,True,2.23606797749979,1.6094379124341003,1,5.0,2,6,4,False,True,False,5
5,6,True,False,False,False,2.449489742783178,1.791759469228055,2,3.0,4,12,2,True,True,False,8
6,7,False,True,False,False,2.6457513110645907,1.9459101490553132,1,7.0,2,8,6,False,True,False,16
7,8,True,False,False,True,2.8284271247461903,2.0794415416798357,3,2.0,4,15,4,False,True,True,3
8,9,False,False,True,False,3.0,2.1972245773362196,2,3.0,3,13,6,False,True,False,19
9,10,True,False,False,False,3.1622776601683795,2.302585092994046,2,5.0,4,18,4,False,False,False,6
10,11,False,True,False,False,3.3166247903554,2.3978952727983707,1,11.0,2,12,10,False,True,False,14
11,12,True,False,False,False,3.4641016151377544,2.4849066497880004,3,3.0,6,28,4,False,False,False,9
12,13,False,True,False,True,3.605551275463989,2.5649493574615367,1,13.0,2,14,12,False,False,False,9
13,14,True,False,False,False,3.7416573867739413,2.6390573296152584,2,7.0,4,24,6,False,False,False,17
14,15,False,False,False,False,3.872983346207417,2.70805020110221,2,5.0,4,24,8,False,False,False,17
15,16,True,False,True,False,4.0,2.772588722239781,4,2.0,5,31,8,False,False,True,4
16,17,False,True,False,False,4.123105625617661,2.833213344056216,1,17.0,2,18,16,False,False,False,12
17,18,True,False,False,False,4.242640687119285,2.8903717578961645,3,3.0,6,39,6,False,False,False,20
18,19,False,True,False,False,4.358898943540674,2.9444389791664403,1,19.0,2,20,18,False,False,False,20
19,20,True,False,False,False,4.47213595499958,2.995732273553991,3,5.0,6,42,8,False,False,False,7
20,21,False,False,False,True,4.58257569495584,3.044522437723423,2,7.0,4,32,12,False,False,False,7
21,22,True,False,False,False,4.69041575982343,3.091042453358316,2,11.0,4,36,10,False,True,False,15
22,23,False,True,False,False,4.795831523312719,3.1354942159291497,1,23.0,2,24,22,False,False,False,15
23,24,True,False,False,False,4.898979485566356,3.1780538303479458,4,3.0,8,60,8,False,False,False,10
24,25,False,False,True,False,5.0,3.2188758248682006,2,5.0,3,31,20,False,False,False,23
25,26,True,False,False,False,5.0990195135927845,3.258096538021482,2,13.0,4,42,12,False,False,False,10
26,27,False,False,False,False,5.196152422706632,3.295836866004329,3,3.0,4,40,18,False,False,False,111
27,28,True,False,False,False,5.291502622129181,3.332204510175204,3,7.0,6,56,12,True,False,False,18
28,29,False,True,False,False,5.385164807134504,3.367295829986474,1,29.0,2,30,28,False,False,False,18
29,30,True,False,False,False,5.477225575051661,3.4011973816621555,3,5.0,8,72,8,False,False,False,18
30,31,False,True,False,False,5.5677643628300215,3.4339872044851463,1,31.0,2,32,30,False,False,False,106
31,32,True,False,False,False,5.656854249492381,3.4657359027997265,5,2.0,6,63,16,False,False,True,5
32,33,False,False,False,False,5.744562646538029,3.4965075614664802,2,11.0,4,48,20,False,True,False,26
33,34,True,False,False,True,5.830951894845301,3.5263605246161616,2,17.0,4,54,16,False,False,False,13
34,35,False,False,False,False,5.916079783099616,3.5553480614894135,2,7.0,4,48,24,False,False,False,13
35,36,True,False,True,False,6.0,3.58351893845611,4,3.0,9,91,12,False,False,False,21
36,37,False,True,False,False,6.082762530298219,3.6109179126442243,1,37.0,2,38,36,False,False,False,21
37,38,True,False,False,False,6.164414002968976,3.6375861597263857,2,19.0,4,60,18,False,False,False,21
38,39,False,False,False,False,6.244997998398398,3.6635616461296463,2,13.0,4,56,24,False,False,False,34
39,40,True,False,False,False,6.324555320336759,3.6888794541139363,4,5.0,8,90,16,False,False,False,8
