,harmonic_index,sum_connectivity_index,vertex_cover_number,sub_total_domination_number,min_maximal_matching_number,clique_number,outer_connected_domination_number,Kn,slater,triameter,diameter,triangle_free,connected_zero_forcing_number,min_degree,planar,domination_number,bipartite,matching_number,tree,total_domination_number,edge_domination_number,chromatic_number,size,wiener_index,radius,positive_semidefinite_zero_forcing_number,connected_domination_number,connected,residue,independence_number,claw_free,total_zero_forcing_number,max_degree,semitotal_domination_number,order,independent_domination_number,zero_forcing_number,randic_index,power_domination_number,annihilation_number,name
0,3.3666666666666667,3.4189910556895,3,3,2,2,5,False,2,12,5,True,5,1,True,3,True,3,True,4,2,2,7,71.0,3,1,4,True,4,5,False,5,3,7,8,3,3,3.663902460147014,2,5,MathematicaGraph7564
1,2.345238095238095,2.820726024829036,2,2,1,2,6,False,2,8,3,True,6,1,True,2,True,2,True,2,1,2,7,54.0,2,1,2,True,6,6,False,6,6,8,8,2,5,3.037023368100676,1,6,MathematicaGraph7570
2,3.2,3.3272393461533625,3,3,2,2,6,False,2,12,5,True,4,1,True,2,True,3,True,4,2,2,7,71.0,3,1,4,True,4,5,False,4,4,7,8,2,3,3.560660171779821,1,5,MathematicaGraph7558
3,4.5,5.121320343559642,4,3,4,2,4,False,2,12,4,True,4,2,True,4,True,4,False,4,4,2,12,96.0,2,4,4,True,4,6,False,4,6,7,10,4,4,4.732050807568878,1,6,F_small_F4_HaHeHe
4,8.0,9.797958971132712,9,6,6,3,9,False,4,18,6,False,10,3,True,4,False,7,False,6,6,3,24,402.0,3,7,7,True,4,7,False,8,3,9,16,4,8,8.0,3,8,Gadget3
5,5.366666666666667,6.118950216318979,6,4,3,2,5,False,3,9,4,True,3,2,True,3,False,5,False,5,3,3,14,121.0,3,3,5,True,4,5,False,3,3,6,11,3,3,5.432652990377571,1,6,G41
6,3.3190476190476192,3.627853549972964,3,3,2,2,6,False,2,10,4,True,6,1,True,3,True,3,True,3,2,2,8,86.0,2,1,3,True,5,6,False,6,4,9,9,3,4,3.854059275497024,2,6,MathematicaGraph7612
7,3.523809523809524,3.682440807524285,4,3,3,2,5,False,2,12,4,True,5,1,True,4,True,4,True,4,3,2,8,82.0,2,1,4,True,5,5,False,5,5,9,9,4,4,3.964430832610072,1,6,MathematicaGraph7606
8,6.0,7.348469228349535,7,4,4,3,3,False,3,9,4,False,4,3,True,3,False,6,False,4,4,3,18,140.0,3,4,5,True,3,5,False,4,3,6,12,3,4,6.0,2,6,cubic70
9,3.4000000000000004,3.683281572999748,3,3,2,2,4,False,2,8,3,True,3,2,True,2,True,3,False,4,2,2,8,38.0,3,2,4,True,3,4,False,3,3,4,7,2,3,3.4494897427831783,1,4,B_dom_B2
