n.t,0x136D7 0x13075 0x138E8 0x138E9 0x138EE 0x13DFE 0x132CB 0x132CC 0x132CE 0x132D5 0x14213 0x14214 0x14217 0x14215 0x14216
tp,0x13610 0x13076 0x1392E 0x13310 0x13311
ḥr,0x13796 0x137C8 0x137DE 0x13077 0x13935 0x13936 0x13143 0x13C70 0x13C71 0x13C72 0x13C79 0x13CC3 0x13CC5 0x13C6C 0x13C92 0x13ED3 0x13F29 0x13FEC
ꞽr,0x13079
dgꞽ,0x1307A 0x1307B 0x13977 0x13976 0x1398B
ꜥntyw,0x1307C 0x1397D 0x13B22
ꜥn,0x1307D 0x1307E 0x13982 0x13984 0x143D7 0x143EF
rmꞽ,0x1307F 0x13986 0x13987 0x1398A 0x13989
wḏꜣ.t,0x13080
ḏfḏ,0x13082
ꞽnḥ,0x13083
tꞽ.t,0x13087 0x133AC
msḏr,0x13088 0x13114
šr.t,0x13089 0x13991
fnḏ,0x1308A 0x13B72
r,0x13627 0x1381B 0x1391D 0x1308B 0x13996 0x13B11 0x13AD4 0x13D26 0x13DF0 0x14396
r.wy,0x1308C 0x13995
ḫmt-r.w,0x1308D
sp.t,0x1308E 0x13997 0x13297
sp.ty,0x1308F 0x13998
snf,0x13090
mnḏ,0x13091
kꜣ,0x13580 0x137B0 0x1375A 0x13093 0x139A0 0x13094 0x139A4 0x139A5 0x139A2 0x130D2 0x13B57 0x13B2F 0x13B34 0x130FE 0x13B6A 0x13B6E 0x13B71 0x143C4
nḥb-kꜣ.w,0x13095 0x13D2F
ḥm-kꜣ,0x13096 0x13097 0x139AE
ẖn,0x13099 0x139B3 0x139B5 0x139B6 0x1311A 0x14093 0x14023
ꜥḥꜣ,0x1309A 0x1309B 0x139B8 0x139B7 0x139B9 0x139BA 0x139BC 0x139BE 0x139BF 0x139C0 0x139C1
n,0x13610 0x13771 0x138E5 0x138E7 0x138F7 0x137A8 0x1309C 0x139C2 0x13AD5 0x13D8A 0x13DA2 0x13DA3 0x13DA4 0x13DA5 0x13DB3 0x13DA9 0x13216 0x13F31 0x13FD7 0x132D4
ꜥ,0x1309D 0x139C4 0x13DB6 0x133BA 0x1436C
ḏꞽ,0x1309E 0x133D9
>,0x1309E 0x13397 0x13398 0x133D9
dꞽ,0x1309E 0x139E9 0x133D9
m,0x1362A 0x13580 0x1309F 0x139C6 0x13AA2 0x13B20 0x13AA4 0x13BC8 0x13131 0x13153 0x13C2D 0x13D2B 0x13F34 0x1341D 0x13BF6
ḥnk,0x130A0 0x139CB 0x14037
mḥ,0x130A3 0x13A6E 0x13BE7 0x13BEA 0x13CEC 0x13CEA 0x13CE9 0x141F3 0x13394 0x13395 0x13396 0x14333 0x14334
ḫwꞽ,0x138AA 0x138AB 0x130A4 0x139E1 0x13CBA
