#Spectrum R Sigma(km/s) 
NGC0636_VIS_dopcor 5000 166.2
NGC0897_VIS_dopcor 4000 241.5
NGC1600_VIS_dopcor 6000 335.1
NGC3379_VIS_dopcor 1000 241.5
NGC3423_VIS_dopcor 6000 30
