dates,SM
734330,0.175
734331,0.169
734332,0.209553659
734333,0.212
734334,0.1795
734335,0.169
734336,0.162933722
734337,0.205739588
734338,0.201
734339,0.225
734340,0.229
734341,0.195
734342,0.200384468
734343,0.26
734344,0.222
734345,0.2625
734346,0.219
734347,0.196
734348,0.273
734349,0.24
734350,0.288
734351,0.347
734352,0.272
734353,0.301407278
734354,0.324857324
734355,0.3285
734356,0.2955
734357,0.239
734358,0.238521799
734359,0.292
734360,0.235
734361,0.2425
734362,0.208
734363,0.208
734364,0.254
734365,0.223017424
734366,0.181
734367,0.2735
734368,0.273
734369,0.263559163
734370,0.261
734371,0.266
734372,0.238
734373,0.194
734374,0.188035965
734375,0.245
734376,0.221881762
734377,0.212926939
734378,0.183
734379,0.194191873
734380,0.248
734381,0.192
734382,0.201
734383,0.2
734384,0.194
734385,0.242
734386,0.303
734387,0.287
734388,0.2445
734389,0.235
734390,0.217906237
734391,0.202
734392,0.198
734393,0.1915
734394,0.206
734395,0.188314229
734396,0.193
734397,0.2495
734398,0.2685
734399,0.213
734400,0.195
734401,0.204
734402,0.188
734403,0.183
734404,0.169
734405,0.161
734406,0.191862985
734407,0.268
734408,0.231
734409,0.205
734410,0.209
734411,0.168507576
734412,0.177
734413,0.168
734414,0.175
734415,0.165
734416,0.141709134
734417,0.152
734418,0.154
734419,0.1425
734420,0.1615
734421,0.116
734422,0.121333137
734423,0.163
734424,0.142
734425,0.124
734426,0.115
734427,0.106764495
734428,0.119
734429,0.113
734430,0.118
734431,0.114
734432,0.146838292
734433,0.252
734434,0.188
734435,0.177
734436,0.153
734437,0.162
734438,0.150522619
734439,0.165
734440,0.152
734441,0.161
734442,0.142
734443,0.142555803
734444,0.177
734445,0.164
734446,0.2045
734447,0.203
734448,0.181241095
734449,0.181712985
734450,0.171
734451,0.188
734452,0.145
734453,0.126844093
734454,0.129415363
734455,0.1355
734456,0.15
734457,0.157
734458,0.168
734459,0.148828924
734460,0.14781411
734461,0.149
734462,0.143
734463,0.138
734464,0.128948718
734465,0.135848954
734466,0.133805096
734467,0.144008219
734468,0.143907994
734469,0.138787061
734470,0.133555919
734471,0.147438377
734472,0.162922367
734473,0.155
734474,0.145284176
734475,0.160682917
734476,0.157029212
734477,0.137692034
734478,0.139282778
734479,0.131495744
734480,0.122727379
734481,0.135059804
734482,0.124593884
734483,0.119
734484,0.114
734485,0.106572635
734486,0.104904272
734487,0.111165561
734488,0.107036173
734489,0.107
734490,0.099504046
734491,0.101702623
734492,0.101158828
734493,0.100451581
734494,0.097576916
734495,0.099
734496,0.094588235
734497,0.092758581
734498,0.095965065
734499,0.1
734500,0.09574756
734501,0.091744594
734502,0.094212025
734503,0.086042695
734504,0.091
734505,0.085225575
734506,0.085867457
734507,0.083680041
734508,0.084429018
734509,0.086103737
734510,0.089
734511,0.082544744
734512,0.083871022
734513,0.080725774
734514,0.086551629
734515,0.089188665
734516,0.089408778
734517,0.0939219
734518,0.089127891
734519,0.092434622
734520,0.091425695
734521,0.096101783
734522,0.099550977
734523,0.093148269
734524,0.094824314
734525,0.098018125
734526,0.095663987
734527,0.099635243
734528,0.099432856
734529,0.097923726
734530,0.101
734531,0.095899895
734532,0.096015096
734533,0.09854307
734534,0.090258777
734535,0.093192592
734536,0.096
734537,0.092384622
734538,0.099732645
734539,0.086407848
734540,0.089576676
734541,0.088085242
734542,0.08831799
734543,0.093477815
734544,0.088178605
734545,0.084000863
734546,0.085453473
734547,0.094
734548,0.086538538
734549,0.092079453
734550,0.084
734551,0.074
734552,0.088
734553,0.094
734554,0.106930554
734555,0.092281356
734556,0.105
734557,0.093
734558,0.08887139
734559,0.105060086
734560,0.094077632
734561,0.091
734562,0.098
734563,0.15
734564,0.136338368
734565,0.140239149
734566,0.114351653
734567,0.124
734568,0.107
734569,0.111
734570,0.126405984
734571,0.093679309
734572,0.09
734573,0.104
734574,0.105
734575,0.124472439
734576,0.119
734577,0.161
734578,0.128
734579,0.108
734580,0.123013794
734581,0.13129209
734582,0.102
734583,0.2075
734584,0.165610284
734585,0.15683341
734586,0.176
734587,0.1455
734588,0.1375
734589,0.129
734590,0.133
734591,0.154
734592,0.172
734593,0.133
734594,0.148
734595,0.139
734596,0.171812832
734597,0.167
734598,0.1455
734599,0.1315
734600,0.116
734601,0.12950778
734602,0.15
734603,0.1265
