* Kansen op verschillende type sluitingen van de Oosterschelde-
* kering als functie van de waterstand bij Roompot Buiten.
*
* Kansen op de typen sluitingen zijn afkomstig uit bijlage A van:
* 'Prestatiepeilen Oosterschelde - Vervolg'
* Rijkswaterstaat Bouwdienst, 24 april 2008
* Auteur: Sipke van Manen
* 
* N.B.: - de kans op geen sluiting bij waterstanden van 3.00 m+NAP of meer 
*         bij Roompot Buiten is 0.
*	- de kans op een handmatige sluiting of een noodsluiting bij waterstanden 
*         van minder dan 3.00 m+NAP bij Roompot Buiten is 0.
*
* De Oosterscheldekering wordt handmatig gesloten als pas laat duidelijk wordt dat 
* de waterstand 3.00 m+NAP overschrijdt. Verondersteld wordt dat deze handmatige 
* sluiting dezelfde waterstanden geeft als bij een (onbemande) noodsluiting. 
* Bij geen sluiting van de Oosterscheldekering zijn de waterstanden voor alle 
* sluitscenario's hetzelfde.
*
* Onderstaand staat m. Dit waterstand bij Roompot Buiten.
*
*        Kans op        Kans op        Kans op        Kans op 
*        strategie-     handmatige     noodsluiting   geen
* m      sluiting       sluiting       door systeem   sluiting
1.50     0.00000000     0.00000000     0.00000000     1.00000000
1.51     0.00000000     0.00000000     0.00000000     1.00000000
1.52     0.00000000     0.00000000     0.00000000     1.00000000
1.53     0.00000000     0.00000000     0.00000000     1.00000000
1.54     0.00000000     0.00000000     0.00000000     1.00000000
1.55     0.00000000     0.00000000     0.00000000     1.00000000
1.56     0.00000000     0.00000000     0.00000000     1.00000000
1.57     0.00000000     0.00000000     0.00000000     1.00000000
1.58     0.00000000     0.00000000     0.00000000     1.00000000
1.59     0.00000000     0.00000000     0.00000000     1.00000000
1.60     0.00000000     0.00000000     0.00000000     1.00000000
1.61     0.00000000     0.00000000     0.00000000     1.00000000
1.62     0.00000000     0.00000000     0.00000000     1.00000000
1.63     0.00000000     0.00000000     0.00000000     1.00000000
1.64     0.00000000     0.00000000     0.00000000     1.00000000
1.65     0.00000000     0.00000000     0.00000000     1.00000000
1.66     0.00000000     0.00000000     0.00000000     1.00000000
1.67     0.00000000     0.00000000     0.00000000     1.00000000
1.68     0.00000000     0.00000000     0.00000000     1.00000000
1.69     0.00000000     0.00000000     0.00000000     1.00000000
1.70     0.00000000     0.00000000     0.00000000     1.00000000
1.71     0.00000000     0.00000000     0.00000000     1.00000000
1.72     0.00000000     0.00000000     0.00000000     1.00000000
1.73     0.00000000     0.00000000     0.00000000     1.00000000
1.74     0.00000000     0.00000000     0.00000000     1.00000000
1.75     0.00000000     0.00000000     0.00000000     1.00000000
1.76     0.00000000     0.00000000     0.00000000     1.00000000
1.77     0.00000000     0.00000000     0.00000000     1.00000000
1.78     0.00000000     0.00000000     0.00000000     1.00000000
