ID,RA_ICRS,DE_ICRS,Name,GaiaDR2,Distcat,VBURMG,SpTop,SpTnir,SpTph,plxlit,RP-W3,G-RP,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,gmagPS,rmagPS,imagPS,zmagPS,ymagPS,Gmag,FG,BPmag,FBP,RPmag,FRP,GaiaGest,plx,pmRA,pmDE,SimbadName,_RA.icrs,_DE.icrs
J0133-6314 ,23.38605177,-63.24522964,SSSPM J0134-6315         ,4.71213E+18,0.05,-    ,-       ,L0        ,-     ,       ,4.198,1.458,14.513,14.018,13.704,13.503,13.274,12.55,      ,      ,      ,      ,      ,18.206,984,20.288,106.1,16.748,1605.8,19.652,13.89,77.47,-79.43,Gaia DR2 4712132354155559040,23.38531084,-63.24488765
J2301+0745 ,345.294942,7.766551313,ULAS J230110.75+074559.9 ,2.71351E+18,0.04,-    ,-       ,-         ,L2    ,       ,7.09,1.507,15.624,14.911,14.233,13.897,13.595,11.977,      ,21.66,20.059,18.682,17.729,20.574,111.1,21.629,30.8,19.067,189.7,20.497,14.26,63.59,-41.8,ULAS J230110.75+074559.9    ,345.2946656,7.766731285
J0014-0838 ,3.711069681,-8.640151419,WISEA J001450.17-083823.4,2.42929E+18,0.7,-    ,L0 sd   ,M9 sd     ,-     ,       ,4.568,1.517,14.469,13.95,13.769,13.429,13.204,12.041,21.388,20.103,17.402,16.258,15.773,18.126,1059.4,20.543,83.8,16.609,1825.2,18.901,20.14,1477.22,-257.96,Gaia DR2 2429285424478485504,3.704636438,-8.639040704
J1843+4060 ,280.8415058,40.6751413,V492Lyr                  ,2.09851E+18,0.26,-    ,M8.0    ,-         ,      ,       ,4.293,1.518,11.313,10.688,10.308,10.08,9.874,9.62,18.867,17.467,14.84,13.587,12.905,15.431,12673.1,18.517,541.9,13.913,21855.2,15.842,69.46,-120.47,591.59,Gaia DR2 2098514324976071424,280.8421897,40.67259417
J2306-0502 ,346.6263919,-5.043461802,2MUCD12171               ,2.63548E+18,0.52,-    ,M8.0    ,-         ,      ,       ,4.587,1.548,11.354,10.718,10.296,10.068,9.807,9.51,19.331,17.897,15.101,14.126,      ,15.645,10406.3,18.998,347.8,14.097,18453.9,16.009,80.45,930.88,-479.4,Gaia DR2 2635476908753563008,346.6223683,-5.041397706
J0539+4068 ,84.85701889,40.64163919,LSRJ0539+4038            ,1.91109E+17,0.5,-    ,M8.0    ,-         ,      ,       ,4.361,1.556,11.109,10.446,10.044,9.806,9.606,9.385,19.09,17.502,14.721,13.444,12.674,15.302,14269.7,18.653,477.7,13.746,25493.4,15.685,87.54,645.46,-834.66,Gaia DR2  191109281417914880,84.85335623,40.6452328
J1207-3932A,181.8890906,-39.54843992,TWA 27 A                 ,3.45937E+18,0.02,-    ,M8 p    ,M8Int-G   ,-     ,19.099,6.382,1.557,12.995,12.388,11.945,11.574,11.017,9.469,      ,      ,      ,      ,      ,17.408,2052.7,20.059,130.9,15.851,3668.4,17.45,15.52,-64.08,-23.72,Gaia DR2 3459372646830687104,181.8894484,-39.54833779
J1252+0347 ,193.1586619,3.792973292,ULAS J125238.22+034735.0 ,3.70462E+18,0.17,-    ,-       ,-         ,L0.5  ,       ,7.296,1.561,15.988,15.17,14.63,14.409,14.145,11.901,      ,22.279,20.223,18.782,17.843,20.758,93.8,21.595,31.8,19.197,168.3,20.658,14.17,-266.68,-42.69,Gaia DR2 3704616555037021056,193.1598126,3.793157095
J0306-3647 ,46.54740308,-36.80089643,SSSPM J0306-3648         ,5.04742E+18,0.37,-    ,M8      ,L0        ,-     ,76.46,4.605,1.564,11.69,11.068,10.631,10.38,10.147,9.846,      ,      ,      ,      ,      ,16.015,7400.9,19.503,218.4,14.451,13320.9,16.811,75.44,-172.48,-669.32,Gaia DR2 5047423236725995136,46.54833048,-36.79801464
J1916+0518 ,289.2374571,5.144563047,V1298AqlvB10             ,4.29332E+18,0.66,-    ,M8.0    ,-         ,      ,       ,4.713,1.567,9.908,9.226,8.765,8.535,8.317,8.041,18.248,16.609,14.402,12.393,11.615,14.321,35226.5,17.726,1122,12.754,63552,14.616,168.96,-598.18,-1365.27,Gaia DR2 4293315765165489536,289.240043,5.150441288
J1329+0357 ,202.4051535,3.958235217,2MASS 13293723+0357297   ,3.7131E+18,0.17,-    ,L0      ,-         ,L0    ,       ,6.384,1.568,16.038,15.148,15.046,14.425,14.084,12.791,      ,      ,20.151,18.758,17.799,20.743,95.1,21.06,52.1,19.175,171.7,20.709,15.93,19.88,-1.95,Gaia DR2 3713102066090092416,202.4050677,3.958243613
J0419+4253 ,64.97030216,42.55224289,LSRJ0419+4233            ,2.29156E+17,0.79,-    ,M8.5    ,-         ,      ,       ,4.847,1.571,11.094,10.383,9.9,9.606,9.428,9.167,      ,17.763,15.129,13.686,12.826,15.585,10999.6,18.918,374.5,14.014,19922.1,15.765,97.95,527.61,-1442.06,Gaia DR2  229155579195699456,64.96721814,42.55845171
J1845-6357A,281.2972267,-63.96064918,SCRJ1845-6357A           ,6.43913E+18,0.57,-    ,M9.5V   ,M8.5      ,      ,       ,5.074,1.573,9.544,8.967,8.508,8.15,7.797,7.376,      ,      ,      ,      ,      ,14.023,46367.1,17.593,1269.3,12.45,84084.1,14.256,249.92,2584.3,589,Gaia DR2 6439125097425259776,281.2718778,-63.96318294
J1113-0002 ,168.3207122,-0.046374807,2MASS 11131694-0002467   ,3.80405E+18,0.03,-    ,L0      ,-         ,L1    ,       ,6.228,1.575,15.08,14.297,13.803,13.466,13.204,12.093,21.613,21.773,19.434,17.999,16.992,19.896,207.5,20.171,118.1,18.321,377,19.738,22.88,25.14,-13.95,Gaia DR2 3804048651417278976,168.320604,-0.046314744
J0853-0349 ,133.3984403,-3.49313674,LP666-009                ,5.76199E+18,0.19,-    ,M9.0    ,-         ,      ,       ,5.366,1.576,11.212,10.469,9.942,9.624,9.381,8.967,18.885,17.872,15.469,14.029,13.08,15.909,8163.3,19.083,321.7,14.333,14840.4,15.895,115.3,-516.88,-199.41,Gaia DR2 5761985432616501376,133.4006699,-3.492278167
