ID,RA_ICRS,DE_ICRS,Name,GaiaDR2,Distcat,VBURMG,SpTop,SpTnir,SpTph,plxlit,RP-W3,G-RP,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,gmagPS,rmagPS,imagPS,zmagPS,ymagPS,Gmag,FG,BPmag,FBP,RPmag,FRP,GaiaGest,plx,pmRA,pmDE,SimbadName,_RA.icrs,_DE.icrs
J1029+1626 ,157.3420218,16.44617795,2MASSI J1029216+162652   ,3.88937E+18,0.3,-    ,L2.5    ,L3        ,-     ,       ,6.297,1.576,14.294,13.331,12.623,12.072,11.8,11.374,      ,      ,18.73,17.37,16.409,19.247,377,21.075,51.4,17.671,685.8,19.236,52.34,355.23,-364.36,Gaia DR2 3889368043607829376,157.3404271,16.44774672
J0109-4954 ,17.28890603,-49.91415856,SSSPM J0109-4955         ,4.92894E+18,0.06,-    ,M8:     ,L1        ,-     ,       ,4.55,1.581,13.546,12.875,12.45,12.266,12.049,11.681,      ,      ,      ,      ,      ,17.812,1413.8,20.784,67.1,16.231,2584,18.671,29.86,88.65,139.34,Gaia DR2 4928939932436444544,17.28831328,-49.9147585
J0230-0953 ,37.68816528,-9.884985661,DENIS J02304500-0953050  ,5.17533E+18,0.06,-    ,L0      ,L1        ,-     ,32.4,6.272,1.582,14.818,13.912,13.403,12.968,12.704,11.805,      ,21.555,19.155,17.728,16.749,19.659,258.2,20.986,55.7,18.077,472.2,19.591,33.77,152.53,-42.48,Gaia DR2 5175327809475722624,37.68749866,-9.88480276
J0532+0418 ,83.23915483,4.311193281,WISEA J053257.29+041842.5,3.23647E+18,0.19,-    ,-       ,L3        ,-     ,       ,6.481,1.582,15.44,14.415,13.855,13.3,12.97,12.131,      ,21.808,19.71,18.244,17.311,20.194,157.6,21.853,25.1,18.612,288.3,20.25,28.35,279.24,-442.27,Gaia DR2 3236465703888892032,83.23794913,4.313097498
J1835+3299 ,278.9074609,32.99489203,LSRJ1835+3259            ,2.09118E+18,0.3,-    ,M8.5    ,-         ,      ,       ,5.124,1.584,10.27,9.617,9.171,8.837,8.56,8.161,      ,      ,14.432,      ,      ,14.869,21264.6,18.444,579.2,13.285,38988.6,14.971,175.82,-72.84,-754.84,Gaia DR2 2091177593123254016,278.9078348,32.99814204
J0202-3136 ,30.50499322,-31.61409842,WISEA J020201.25-313645.2,5.01958E+18,0.41,-    ,L0 sd   ,-         ,-     ,       ,5.373,1.586,15.335,14.937,14.702,14.31,13.959,12.218,      ,      ,      ,      ,      ,19.177,402.4,21.357,39.6,17.591,738.2,20.365,15.14,-155.09,-1152.44,Gaia DR2 5019582949474822400,30.50577729,-31.60913653
J0228+1639 ,37.17864022,16.6573082,2MASS 02284243+1639329   ,8.24936E+16,0.25,-    ,L0:     ,M8.5      ,-     ,       ,5.106,1.586,13.166,12.325,11.818,11.556,11.332,11.12,21.591,19.8,17.341,15.903,14.98,17.812,1414.2,20.678,74,16.226,2595.8,17.86,46.05,400.32,-430.72,Gaia DR2   82493612948013824,37.17684111,16.65916268
J1348+0353 ,207.192106,3.896919593,2MASS 13484591+0353545   ,3.66578E+18,0.14,-    ,L0:     ,-         ,L1.5  ,       ,6.117,1.587,14.628,13.76,13.229,12.899,12.649,11.777,      ,21.372,18.979,17.576,16.615,19.481,304.1,20.968,56.7,17.894,558.8,19.356,29.24,184.97,-372.41,Gaia DR2 3665777200138942336,207.1913078,3.898523025
J0435+2115 ,68.90060372,21.25113004,WISEA J043535.82+211508.9,1.44711E+17,0.56,-    ,L0 sd   ,M9 sd     ,-     ,       ,6.02,1.591,15.011,14.682,14.594,13.999,13.668,11.545,      ,21.528,      ,17.142,16.546,19.156,410.3,21.575,32.4,17.565,756.2,19.714,18.3,871.71,-964.06,Gaia DR2  144711230753602048,68.89657658,21.25528081
J1418-3538 ,214.6220996,-35.63590478,2MASS 14182962-3538060   ,6.11961E+18,0.16,-    ,-       ,L1.5      ,-     ,       ,5.572,1.591,15.165,14.253,13.691,13.315,13.018,12.884,      ,      ,      ,      ,      ,20.047,180.6,21.784,26.7,18.456,333,20.061,27.31,-255.38,-215.26,Gaia DR2 6119607155827787520,214.6234525,-35.63497796
J0339-3525 ,54.89851753,-35.42763097,2MUCD 10201              ,4.86038E+18,0.25,MG   ,M9      ,L0        ,-     ,154.44,5.604,1.592,10.725,10.017,9.548,9.134,8.803,8.269,      ,      ,      ,      ,      ,15.465,12279.9,18.92,373.8,13.873,22672.4,15.843,155.76,308.87,268.19,Gaia DR2 4860376345833699840,54.89688548,-35.42878567
J0227-1624 ,36.79502525,-16.41454664,2MASS 02271036-1624479   ,5.14542E+18,0.28,-    ,L1      ,L0.5:     ,-     ,       ,5.687,1.593,13.573,12.63,12.143,11.785,11.567,11.122,22.19,      ,17.934,16.548,15.573,18.402,821.6,20.86,62.6,16.809,1517.1,18.469,48.79,439.42,-304.24,Gaia DR2 5145416111038393216,36.79305293,-16.41323671
J2255-0034 ,343.8710405,-0.576784545,SDSSp J225529.09-003433.4,2.65159E+18,0.26,-    ,L0:     ,M8.5      ,-     ,16.19,6.826,1.596,15.65,14.756,14.437,14.05,13.802,11.906,24.71,21.773,19.819,18.382,17.414,20.328,139.4,21.027,53.7,18.732,258.2,20.184,16.33,-34.18,-176.87,Gaia DR2 2651588258793809280,343.8711877,-0.576023021
J1035+2507 ,158.8512931,25.12776343,2MASSW J1035245+250745   ,7.24408E+17,0.3,-    ,L1      ,L1        ,-     ,       ,5.255,1.597,14.758,13.911,13.286,13.005,12.713,12.664,      ,21.364,19.099,17.594,16.657,19.516,294.5,21.097,50.3,17.919,545.9,19.621,31.27,-182.63,-298.78,Gaia DR2  724407502179323392,158.8521616,25.12904984
J2331-0406 ,352.7575404,-4.106236674,2MASS 23310161-0406193   ,2.63343E+18,0.11,UR   ,M8+L3   ,-         ,-     ,38.29,4.461,1.597,12.938,12.294,11.954,11.641,11.388,11.139,      ,17.707,16.629,15.29,14.595,17.197,2491.6,19.944,145.5,15.6,4619.5,17.403,38.59,175.96,-189.54,Gaia DR2 2633426216489127296,352.7567809,-4.105420599
J1620-0416 ,245.1072209,-4.275546259,GJ 618.1 B               ,4.35671E+18,0.05,VB   ,L2.5    ,L2.5      ,-     ,29.92,6.676,1.597,15.283,14.348,13.598,12.84,12.597,11.91,      ,21.49,19.653,18.279,17.38,20.183,159.2,21.105,49.9,18.586,295.5,20.018,30.85,-414.36,-18.72,Gaia DR2 4356709207522366464,245.1090099,-4.275465657
J1731+2721 ,262.8734897,27.35536531,2MASS 17312974+2721233   ,4.59513E+18,0.29,-    ,L0      ,-         ,-     ,       ,5.331,1.598,12.094,11.391,10.914,10.611,10.34,9.875,20.688,18.744,16.376,14.934,13.968,16.804,3580.1,19.86,157.2,15.206,6645.4,17.005,83.74,-90.21,-252.87,Gaia DR2 4595127343251508992,262.873927,27.35645406
J0043+2221 ,10.859676,22.35613494,WISEA J004326.26+222124.0,2.80262E+18,0.22,-    ,-       ,L1 sd     ,-     ,       ,5.3,1.599,14.871,14.226,13.931,13.688,13.373,12.213,      ,21.394,18.527,17.116,16.396,19.112,427.3,21.293,42,17.513,793.8,19.696,14.74,172.12,-405.53,Gaia DR2 2802623115925093760,10.85887469,22.35788097
J2346-5928 ,356.6129616,-59.47829205,SIPS2346-5928            ,6.48853E+18,0.11,-    ,-       ,L5.0      ,      ,       ,5.19,1.599,14.515,13.905,13.5,13.207,12.879,12.005,      ,      ,      ,      ,      ,18.794,572.4,21.449,36.4,17.195,1063.3,20.206,21.1,266.07,53.15,Gaia DR2 6488529109793850880,356.6107059,-59.47852087
J0314+1603 ,48.51325536,16.05128377,2MASS 03140344+1603056   ,3.1235E+16,0.15,-    ,L0      ,M9.5      ,-     ,72.07,5.572,1.599,12.526,11.823,11.238,10.929,10.649,10.061,21.08,19.111,16.797,15.366,14.386,17.232,2413.1,20.461,90.4,15.633,4483.6,17.314,73.43,-242.45,-55.11,Gaia DR2   31235033696866688,48.51434159,16.05152105
J1626+3925 ,246.5762263,39.42310269,2MASS 16262034+3925190   ,1.33241E+18,0.78,-    ,L4 sd   ,L sd      ,-     ,29.85,4.609,1.602,14.435,14.533,14.466,13.482,13.136,12.174,      ,      ,17.914,      ,15.802,18.385,834.5,21.335,40.4,16.783,1555.1,19.95,32.49,-1374.66,237.36,Gaia DR2 1332410734823626240,246.5838881,39.42208047
J0501-0010 ,75.35117467,-0.179954741,2MUCD 20198              ,3.22812E+18,0.27,-    ,L4Int-G ,L3Int-G   ,-     ,48.35,8.082,1.602,14.982,13.713,12.963,12.05,11.522,10.746,      ,      ,20.043,18.49,17.447,20.43,126.9,21.3,41.7,18.828,236.4,19.672,47.08,189.25,-145.31,Gaia DR2 3228124598226930816,75.35035984,-0.179329101
J1155-3727 ,178.9149672,-37.46326811,2MASSW J1155395-372735   ,3.46081E+18,0.54,-    ,L2      ,L2.5      ,-     ,84.36,5.812,1.603,12.811,12.04,11.462,11.042,10.751,10.232,      ,      ,      ,      ,      ,17.647,1646.3,20.852,63.1,16.044,3069,17.902,84.57,43.08,-790.91,Gaia DR2 3460806448649173504,178.9147335,-37.4598628
J0024-0158 ,6.102310595,-1.971606058,BRI0021-0214             ,2.54176E+18,0.08,-    ,M9.5    ,L0.5      ,-     ,80.71,5.581,1.603,11.992,11.084,10.539,10.166,9.9,9.412,      ,      ,      ,      ,      ,16.596,4335.8,19.853,158.2,14.993,8080.7,17.819,79.97,-77.17,141.11,Gaia DR2 2541756977144595712,6.102643052,-1.972213615
J1438+6408 ,219.5408126,64.14252906,2MASS 14380829+6408363   ,1.66866E+18,0.34,-    ,L0      ,L0        ,-     ,       ,5.535,1.603,12.985,12.161,11.65,11.35,11.105,10.511,21.409,19.406,17.187,15.779,14.831,17.649,1643.7,20.477,89.1,16.046,3064,17.773,58.7,643.75,-206.27,Gaia DR2 1668664785283445760,219.5344573,64.14341703
J0123-4240 ,20.99530186,-42.66969568,SSSPM J0124-4240         ,4.98384E+18,0.07,-    ,M8      ,L2.5      ,-     ,       ,4.634,1.604,13.153,12.47,12.037,11.78,11.562,11.325,      ,      ,      ,      ,      ,17.563,1779.3,20.73,70.6,15.959,3320.5,18.515,38.78,-139.62,-240.96,Gaia DR2 4983839338285335680,20.99611942,-42.66865821
J0828-1309 ,127.1398091,-13.15539313,SSSPM J0829-1309         ,5.72374E+18,0.23,-    ,L2      ,L2:       ,-     ,85.838,5.907,1.604,12.803,11.851,11.297,10.926,10.679,10.092,      ,19.416,17.161,15.752,14.775,17.603,1714.6,20.706,72.2,15.999,3199.4,17.696,85.54,-581.56,27.54,Gaia DR2 5723739672264914176,127.1423805,-13.15551169
J0859+6341 ,134.9096566,63.69104482,2MASS 08593854+6341355   ,1.04428E+18,0.12,-    ,L0      ,M8.5      ,-     ,       ,5.378,1.605,13.701,12.89,12.387,11.989,11.761,11.412,      ,20.205,17.944,      ,15.595,18.395,826.6,20.907,59.9,16.79,1544.4,18.295,45.19,-98.64,-494.04,Gaia DR2 1044279864474742272,134.9106149,63.69317194
J0632+8305 ,98.02634012,83.0834669,2MASS 06320617+8305014   ,1.14379E+18,0.19,-    ,L0.5    ,-         ,-     ,       ,5.44,1.605,13.754,12.943,12.4,12.073,11.831,11.452,21.648,20.457,18.051,16.582,15.586,18.497,752.4,21.457,36.1,16.892,1406,18.591,43.9,22.54,-50.65,Gaia DR2 1143789235905336576,98.02553421,83.08368497
J1034+0350 ,158.5249759,3.836973104,2MASS 10340564+0350164   ,3.85698E+18,0.27,-    ,L0      ,M8.5      ,L0    ,       ,5.725,1.606,14.695,14.02,13.625,13.223,12.955,12.038,      ,21.208,18.884,17.462,16.519,19.369,337.1,21.6,31.7,17.763,630.1,19.322,22.67,336,-221.74,Gaia DR2 3856980966539068544,158.523526,3.837927817
J0015+3516 ,3.936848081,35.26629288,2MASSW J0015447+351603   ,2.87624E+18,0.12,-    ,L2      ,L1        ,-     ,       ,6.126,1.607,13.878,12.892,12.264,11.794,11.538,10.949,      ,20.377,18.183,16.813,15.883,18.682,634.8,21.59,32,17.075,1187.5,18.589,58.61,55.17,-257.1,Gaia DR2 2876239130257160960,3.936557147,35.26739984
J2356-3426 ,359.0455192,-34.43595336,SSSPM J2356-3426         ,2.31295E+18,0.27,-    ,M9.0    ,L0.5      ,-     ,53.12,4.952,1.607,12.947,12.376,11.965,11.629,11.313,10.921,      ,      ,17.014,      ,      ,17.48,1919.8,20.629,77.4,15.873,3595.4,17.919,53.01,83.17,-312.28,Gaia DR2 2312952902371420800,359.045085,-34.43460882
J0911+7401 ,137.8010469,74.01826147,2MASS 09111297+7401081   ,1.12386E+18,0.23,-    ,L0      ,-         ,-     ,45.2,5.46,1.607,12.921,12.205,11.748,11.344,11.021,10.559,21.626,19.822,17.191,15.715,14.757,17.626,1678.7,20.939,58.2,16.019,3140.9,17.821,40.08,-191.05,-154.32,Gaia DR2 1123855296251645824,137.8040346,74.01892588
J0624+6626 ,96.17782698,66.43973529,WISE J062442.37+662625.6 ,1.10432E+18,0.33,-    ,-       ,L1        ,-     ,       ,5.393,1.608,13.412,12.768,12.268,11.881,11.68,11.434,      ,20.303,      ,16.518,15.521,18.435,797.1,21.386,38.6,16.827,1492.7,18.507,47.7,353.87,-520.29,Gaia DR2 1104317391237838464,96.17401489,66.44197539
J1022+5825 ,155.6942586,58.42610351,2MUCD 20373              ,1.04719E+18,0.5,-    ,L1Vl-G  ,L1        ,-     ,52.61,5.536,1.608,13.499,12.642,12.16,11.769,11.507,11.156,      ,      ,17.873,      ,15.481,18.3,902.7,21.434,36.9,16.692,1690.1,18.387,54.33,-810.78,-736.96,Gaia DR2 1047188004010109440,155.7009262,58.42927636
J2150-7520 ,327.5808369,-75.34482002,2MASS 21501592-7520367   ,6.35829E+18,0.52,-    ,L1:     ,-         ,-     ,       ,5.84,1.608,14.056,13.176,12.673,12.342,12.072,11.463,      ,      ,      ,      ,      ,18.911,514,21.446,36.5,17.303,962.8,18.911,41.36,888.63,-298.23,Gaia DR2 6358287868675805824,327.5657155,-75.34353549
J0916+2139 ,139.0615972,21.66400978,2MASS 09161504+2139512   ,6.3851E+17,0.29,-    ,-       ,L0        ,-     ,       ,5.179,1.609,13.223,12.517,12.074,11.706,11.366,11.014,21.763,19.981,17.367,15.865,14.933,17.802,1427.6,21.138,48.4,16.193,2675.7,18.072,48.81,-200.28,-43.28,Gaia DR2  638510247908168576,139.0625251,21.66419612
J0147-4954 ,26.8863735,-49.91447602,2MASSJ01473282-4954478   ,4.94081E+18,2.49,-    ,-       ,L2.0      ,      ,       ,4.618,1.609,13.058,12.366,11.916,11.719,11.51,11.221,      ,      ,      ,      ,      ,17.448,1977.7,20.515,86,15.839,3709,18.322,27.88,-47.41,-270.5,Gaia DR2 4940805552685869184,26.88669049,-49.91331136
J1925+0968 ,291.3791599,9.638767031,LSPMJ1925+0938           ,4.30849E+18,0.3,-    ,M8.0    ,-         ,      ,       ,4.993,1.609,11.214,10.519,10.024,9.707,9.468,9.071,19.674,18.102,15.194,13.769,12.905,15.673,10138.5,19.143,304.5,14.064,19016.9,15.851,59.43,83.79,-240.82,Gaia DR2 4308488780772030336,291.378794,9.639803895
J0306-0330 ,46.50740601,-3.518179909,WISEA J030601.66-033059. ,5.18346E+18,0.64,-    ,L0sd    ,M9sd      ,-     ,       ,4.528,1.609,14.441,14.06,13.978,13.429,13.181,12.437,      ,      ,      ,      ,      ,18.574,701.2,20.586,80.6,16.965,1314.7,19.536,24.61,331.48,-1290.79,Gaia DR2 5183457632811832960,46.50597612,-3.51262234
J1051+5613 ,162.8273776,56.21771616,2MASS 10511900+5613086   ,8.51053E+17,0.16,-    ,L2      ,L1        ,-     ,       ,5.686,1.609,13.244,12.423,11.905,11.525,11.267,10.782,      ,      ,17.629,      ,      ,18.077,1107.7,21.078,51.2,16.468,2077.6,18.128,64,-227.09,-315.83,Gaia DR2  851053031037729408,162.8291361,56.21907598
J0345+2540 ,56.42938437,25.67294421,2MASP J0345432+254023    ,6.99272E+16,0.07,-    ,L0      ,L1        ,-     ,37.1,4.869,1.61,13.997,13.211,12.672,12.361,12.1,12.333,21.541,20.704,18.35,16.891,15.907,18.812,563.2,21.22,44.9,17.202,1057,18.895,37.46,-94.37,-41.8,Gaia DR2   69927191475070080,56.42983519,25.67312418
J1045-0149 ,161.347737,-1.83275699,2MASSI J1045240-014957   ,3.80267E+18,0.22,MG   ,L1      ,L2        ,L1.5  ,61.78,5.62,1.61,13.16,12.352,11.78,11.463,11.239,10.768,      ,19.932,17.54,16.119,15.153,17.998,1191.8,21.388,38.5,16.388,2236.3,18.15,58.66,-507.7,-10.24,Gaia DR2 3802665122192531712,161.349924,-1.8327129
J2308-2722 ,347.0491533,-27.36797579,DENIS J2308113-272200    ,2.37935E+18,0.22,-    ,L1.5    ,L1.5      ,-     ,       ,5.745,1.61,14.662,13.833,13.332,12.957,12.679,12.125,      ,21.279,19.033,17.569,16.595,19.48,304.4,21.228,44.6,17.87,571,19.562,33.8,352.74,-263.43,Gaia DR2 2379350519786259072,347.0474432,-27.36684157
J2324-5817 ,351.2110315,-58.29888844,2MASS 23245065-5817554   ,6.49254E+18,0.11,-    ,L3      ,-         ,-     ,       ,6.599,1.61,15.568,14.489,13.849,13.375,13.072,12.441,      ,      ,      ,      ,      ,20.65,103.6,21.516,34.2,19.04,194.4,20.428,31.36,-10.97,-41.02,Gaia DR2 6492543937848408192,351.2111214,-58.29871183
J1440+1233 ,220.125581,12.55898336,ULAS J144030.22+123333.3 ,1.17868E+18,0.09,-    ,-       ,-         ,L0    ,       ,5.208,1.61,14.415,13.603,13.186,12.863,12.643,12.221,22.066,21.06,18.56,17.117,16.23,19.039,456.7,21.601,31.6,17.429,857.2,19.171,23.54,-138.67,-120.54,Gaia DR2 1178675026162099968,220.1261927,12.55950236
J2310-1759 ,347.5770662,-17.9873478,SSSPM J2310-1759         ,2.40606E+18,0.14,-    ,L0:     ,L1        ,-     ,36.4,5.614,1.611,14.376,13.578,12.969,12.61,12.304,11.867,      ,20.924,18.627,17.187,16.221,19.092,435.2,21.364,39.4,17.481,817.1,19.18,26.7,22.91,-304.31,Gaia DR2 2406057485426252160,347.5769625,-17.98603758
J1645-1319 ,251.3404476,-13.33466401,2MASSW J1645221-131951   ,4.32758E+18,0.2,-    ,L1.5    ,-         ,-     ,89.3,5.714,1.611,12.451,11.685,11.145,10.801,10.535,9.903,21.423,19.168,16.815,15.34,14.375,17.228,2422.3,20.525,85.2,15.617,4549.7,17.494,88.82,-362.12,-808.25,Gaia DR2 4327580052130121728,251.3420499,-13.33118404
J0408-1450 ,62.12201918,-14.84314711,2MASSI J0408290-145033   ,5.09805E+18,0.11,-    ,L2      ,L4.5      ,-     ,       ,5.832,1.611,14.222,13.337,12.817,12.386,12.098,11.662,      ,20.904,18.645,17.23,16.251,19.105,430,21.358,39.6,17.494,807.7,19.432,45.44,205.76,-111.31,Gaia DR2 5098050661942146816,62.12110269,-14.84266786
J0445-3048 ,71.47537752,-30.80753998,2MASSI J0445538-304820   ,4.87804E+18,0.17,-    ,L2      ,-         ,-     ,78.5,5.936,1.611,13.393,12.58,11.975,11.585,11.34,10.709,      ,20.112,17.781,      ,15.382,18.256,939.3,21.323,40.9,16.645,1765.5,18.345,61.97,161.48,-419.68,Gaia DR2 4878035808244168832,71.47456805,-30.80573302
J0723+5727 ,110.8114193,57.4511977,2MASS 07231462+5727081   ,9.89477E+17,0.1,-    ,L1      ,L0        ,-     ,       ,5.448,1.612,13.97,13.156,12.613,12.279,12.052,11.709,      ,      ,18.323,      ,      ,18.769,585.9,20.979,56.1,17.157,1101.7,18.748,39.77,59.31,-229.59,Gaia DR2  989476558517917952,110.8109446,57.45218621
J0840+4517 ,130.0064968,45.29752928,2MASS 08400161+4517522   ,9.17397E+17,0.04,-    ,L0      ,-         ,-     ,       ,6.564,1.612,15.73,14.933,14.296,13.967,13.723,12.464,23.163,22.525,20.148,18.689,17.665,20.64,104.6,21.835,25.5,19.028,196.5,20.409,16.08,-52.77,-75.68,Gaia DR2  917396561932264576,130.0068198,45.29785513
J1048+0111 ,162.1765004,1.198509363,2MASS 10484281+0111580   ,3.80816E+18,0.19,-    ,L1      ,L4        ,-     ,71.9,5.508,1.613,12.924,12.14,11.623,11.274,11.037,10.582,      ,19.72,17.274,      ,14.853,17.703,1564.1,20.915,59.5,16.09,2943.4,18.143,66.46,-440.01,-231.47,Gaia DR2 3808159454810609280,162.1783953,1.199505969
J0847-1532 ,131.8703501,-15.5445759,2MASSI J0847287-153237   ,5.73343E+18,0.15,-    ,L2      ,-         ,-     ,58.96,5.807,1.613,13.513,12.629,12.061,11.711,11.458,10.958,      ,20.232,17.909,16.518,15.55,18.378,839.7,20.967,56.7,16.765,1580,18.475,56.92,132.7,-199.75,Gaia DR2 5733429157137237760,131.869757,-15.54371587
J1807+5015 ,271.816572,50.25819777,2MASSI J1807159+501531   ,2.12316E+18,0.14,-    ,L1.5    ,L1        ,-     ,77.25,5.688,1.614,12.934,12.127,11.602,11.246,10.971,10.505,21.955,19.748,17.375,15.925,14.936,17.807,1420.5,20.931,58.6,16.193,2676,17.978,68.33,24.49,-136.91,Gaia DR2 2123161836615550848,271.8164071,50.25878724
J1512+3403 ,228.1704762,34.06386621,2MASS 15124058+3403501   ,1.2905E+18,0.13,-    ,L3      ,L0.5      ,-     ,       ,6.014,1.614,15.04,14.046,13.413,12.967,12.73,12.276,      ,21.503,19.353,18.013,17.125,19.904,205.9,21.3,41.7,18.29,387.8,19.738,33.14,234.88,-12.36,Gaia DR2 1290498996544435200,228.1692555,34.06391942
