# Date: Tue Jul 30 10:12:13 2024
# Object: 2024-144 BWS0024 G01 BW1
# Illuminant: D65
# Sample integration time [ms]: 75
# White standard integration time [ms]: 75
# Sample: 01
# Curr: 500 (Watts: 0.0145563, MLuxes: 4.24198)
# LED: 1
#Time	Watts	Lux	L	a	b	dE76	dE94	dE2000
0	0	0	44.5067	-4.41863	-45.9371	0	0	0
11.852	0.172522	0.0139655	44.7963	-5.23905	-44.629	1.57098	0.746761	0.475558
21.836	0.317852	0.02573	44.8646	-5.28777	-44.5018	1.71566	0.82318	0.534346
31.81	0.463037	0.0374826	44.9238	-5.33269	-44.3788	1.85408	0.894864	0.588699
41.859	0.609314	0.0493236	44.9301	-5.41384	-44.2205	2.02883	0.965294	0.623835
51.834	0.754513	0.0610774	44.9645	-5.52529	-44.0593	2.22718	1.06166	0.686951
61.797	0.899538	0.0728171	44.9949	-5.54505	-43.9602	2.32709	1.105	0.71508
71.858	1.04599	0.0846723	45.0541	-5.57592	-43.8642	2.4363	1.16563	0.765443
81.83	1.19114	0.0964226	45.0915	-5.66462	-43.721	2.60874	1.25011	0.822438
91.792	1.33616	0.108161	45.1136	-5.72376	-43.5995	2.74513	1.31093	0.859862
101.852	1.48259	0.120015	45.1292	-5.81448	-43.4619	2.90899	1.38522	0.904191
111.829	1.62782	0.131771	45.1572	-5.87541	-43.3459	3.04292	1.44841	0.94601
121.802	1.77299	0.143523	45.2025	-5.87662	-43.2746	3.11425	1.48563	0.977979
131.851	1.91927	0.155364	45.2359	-5.94744	-43.1528	3.25901	1.55665	1.02678
141.824	2.06444	0.167115	45.2559	-6.00015	-43.0389	3.38555	1.61251	1.06127
151.8	2.20965	0.17887	45.2849	-6.03523	-42.9382	3.49461	1.66261	1.0955
161.845	2.35587	0.190706	45.3023	-6.12647	-42.8215	3.64093	1.73339	1.14075
171.821	2.50108	0.202461	45.342	-6.12827	-42.7521	3.71002	1.76822	1.17007
181.796	2.64628	0.214215	45.3664	-6.17536	-42.6659	3.81128	1.81784	1.20467
191.837	2.79244	0.226047	45.3786	-6.23207	-42.5613	3.92996	1.86973	1.2355
201.809	2.9376	0.237797	45.39	-6.29606	-42.443	4.06371	1.92741	1.26906
211.793	3.08293	0.249562	45.4369	-6.30136	-42.3889	4.12301	1.96366	1.30358
221.842	3.22921	0.261403	45.4674	-6.32613	-42.3165	4.20358	2.00435	1.33492
231.807	3.37426	0.273145	45.4748	-6.40291	-42.1999	4.3406	2.06466	1.3697
241.79	3.51958	0.284908	45.5009	-6.44526	-42.1051	4.4474	2.11533	1.40498
251.841	3.66588	0.296751	45.5285	-6.45795	-42.0524	4.50479	2.14541	1.42978
261.814	3.81105	0.308503	45.554	-6.48509	-41.9732	4.59123	2.18635	1.45935
271.787	3.95622	0.320254	45.5737	-6.50727	-41.8955	4.67283	2.22225	1.48372
281.838	4.10253	0.332098	45.6138	-6.51492	-41.8544	4.72103	2.25407	1.51495
291.811	4.2477	0.343849	45.6111	-6.59508	-41.7337	4.86056	2.31166	1.54454
301.858	4.39395	0.355688	45.6416	-6.63219	-41.657	4.95041	2.35841	1.58043
311.834	4.53916	0.367443	45.6765	-6.64231	-41.5903	5.02066	2.39456	1.61077
321.8	4.68423	0.379186	45.6931	-6.66025	-41.5362	5.07937	2.42205	1.63064
331.858	4.83064	0.391037	45.7194	-6.67619	-41.4572	5.16104	2.45928	1.6582
341.834	4.97585	0.402792	45.7329	-6.74181	-41.3739	5.26527	2.51045	1.69179
351.803	5.12096	0.414539	45.7631	-6.72897	-41.3374	5.29836	2.52873	1.71079
361.856	5.2673	0.426385	45.7585	-6.80711	-41.2192	5.43411	2.58399	1.73872
371.83	5.41248	0.438138	45.7878	-6.80231	-41.1829	5.47039	2.60483	1.75934
381.793	5.55751	0.449877	45.8172	-6.8207	-41.1203	5.53976	2.64089	1.78878
391.852	5.70393	0.46173	45.828	-6.84691	-41.0674	5.59966	2.66855	1.80736
401.828	5.84914	0.473485	45.8585	-6.90064	-40.9716	5.71347	2.72648	1.8501
411.801	5.99431	0.485237	45.8711	-6.90848	-40.9162	5.76804	2.74857	1.86501
421.851	6.1406	0.497079	45.8947	-6.92021	-40.8601	5.82751	2.77778	1.88845
431.826	6.2858	0.508833	45.9168	-6.95248	-40.7946	5.90374	2.81638	1.91743
441.799	6.43097	0.520584	45.9483	-6.94254	-40.7643	5.93346	2.83546	1.93838
451.848	6.57725	0.532425	45.9659	-6.98784	-40.7004	6.01272	2.8764	1.9678
461.822	6.72244	0.544178	45.9934	-6.97438	-40.6591	6.04973	2.89483	1.9862
471.797	6.86764	0.555932	45.9839	-7.03029	-40.5581	6.15921	2.93463	2.00321
481.837	7.01378	0.567762	46.0147	-7.05787	-40.5034	6.2261	2.9734	2.03608
491.821	7.15911	0.579526	46.0286	-7.0958	-40.4326	6.30737	3.01132	2.06175
501.794	7.30428	0.591278	46.0467	-7.14402	-40.3497	6.40452	3.05813	2.09417
511.842	7.45054	0.603118	46.0573	-7.16855	-40.2824	6.47619	3.0885	2.11378
521.816	7.59573	0.61487	46.0914	-7.16914	-40.2469	6.51569	3.11424	2.14002
531.79	7.74091	0.626623	46.1068	-7.14667	-40.2206	6.53302	3.11968	2.14672
541.836	7.88715	0.63846	46.1497	-7.14322	-40.2023	6.55822	3.14484	2.17693
551.803	8.03223	0.650205	46.1371	-7.25273	-40.0706	6.7161	3.21037	2.20912
561.864	8.17868	0.66206	46.1547	-7.25653	-40.0253	6.76154	3.2313	2.22605
571.838	8.32387	0.673813	46.1658	-7.30865	-39.9391	6.86155	3.27694	2.25547
581.813	8.46907	0.685566	46.1834	-7.3202	-39.8892	6.91428	3.30193	2.27499
591.85	8.61517	0.697393	46.209	-7.33562	-39.8484	6.96264	3.33039	2.30026
601.823	8.76034	0.709145	46.2478	-7.29688	-39.8515	6.95343	3.33506	2.3162
611.811	8.90573	0.720914	46.2427	-7.334	-39.779	7.03095	3.36324	2.32908
621.859	9.05199	0.732754	46.2778	-7.33403	-39.7336	7.07949	3.39209	2.35746
631.834	9.19719	0.744508	46.2769	-7.4062	-39.637	7.19375	3.44137	2.38491
641.807	9.34236	0.756259	46.3053	-7.40069	-39.6143	7.21837	3.45927	2.40502
651.856	9.48863	0.7681	46.3302	-7.40367	-39.5801	7.25582	3.4814	2.42622
661.831	9.63383	0.779854	46.3476	-7.42807	-39.5156	7.32673	3.5147	2.45072
671.797	9.7789	0.791597	46.3544	-7.4554	-39.4647	7.38429	3.54041	2.46743
681.855	9.92531	0.803449	46.3693	-7.48093	-39.3995	7.45567	3.57302	2.49064
691.82	10.0704	0.815191	46.3982	-7.47946	-39.3681	7.48987	3.59495	2.51327
701.804	10.2157	0.826955	46.4087	-7.50144	-39.3148	7.54825	3.62115	2.53142
711.853	10.362	0.838796	46.4079	-7.5646	-39.2292	7.64901	3.66455	2.55587
721.827	10.5072	0.850549	46.4346	-7.56388	-39.1908	7.68903	3.68722	2.57785
731.801	10.6523	0.862301	46.4555	-7.56688	-39.1592	7.72322	3.70667	2.59615
741.85	10.7986	0.874142	46.4799	-7.57957	-39.1178	7.77091	3.73399	2.6205
751.824	10.9438	0.885895	46.4765	-7.63503	-39.0316	7.8683	3.77323	2.64127
761.798	11.089	0.897648	46.5119	-7.60444	-39.0391	7.85827	3.77867	2.65708
771.848	11.2353	0.90949	46.5311	-7.63376	-38.979	7.92777	3.81386	2.68407
781.823	11.3805	0.921244	46.5326	-7.66618	-38.9156	7.99698	3.84164	2.69992
791.795	11.5256	0.932994	46.5545	-7.6643	-38.8744	8.03795	3.86217	2.7188
801.846	11.6719	0.944837	46.5713	-7.68309	-38.8302	8.0887	3.8885	2.73992
811.82	11.8171	0.95659	46.5833	-7.71351	-38.769	8.15783	3.92061	2.76245
821.793	11.9623	0.968342	46.6049	-7.70507	-38.75	8.17659	3.93337	2.77725
831.843	12.1086	0.980184	46.6349	-7.70219	-38.7177	8.21158	3.95597	2.80093
841.817	12.2538	0.991936	46.6451	-7.71593	-38.684	8.24933	3.97445	2.81511
851.789	12.3989	1.00369	46.6419	-7.7924	-38.5898	8.36199	4.02331	2.84237
861.839	12.5452	1.01553	46.6634	-7.76851	-38.5666	8.37832	4.03129	2.85358
871.801	12.6902	1.02727	46.6876	-7.79587	-38.5143	8.44155	4.06672	2.88307
881.787	12.8356	1.03903	46.6787	-7.87447	-38.4155	8.55767	4.11463	2.90783
891.835	12.9818	1.05087	46.7174	-7.82968	-38.4276	8.539	4.1157	2.9219
901.807	13.127	1.06262	46.7244	-7.84413	-38.3825	8.58628	4.13543	2.93531
911.861	13.2734	1.07447	46.7441	-7.8604	-38.3393	8.6358	4.16219	2.95791
921.836	13.4186	1.08622	46.7573	-7.9122	-38.2733	8.71803	4.20413	2.9877
931.81	13.5637	1.09798	46.7571	-7.95823	-38.1952	8.80505	4.23964	3.00803
941.858	13.71	1.10982	46.8163	-7.87179	-38.2507	8.73715	4.22634	3.02136
951.833	13.8552	1.12157	46.8153	-7.88872	-38.1925	8.79487	4.24572	3.03121
961.807	14.0004	1.13332	46.8131	-7.98889	-38.0776	8.93518	4.30878	3.06794
971.857	14.1467	1.14517	46.8338	-7.93649	-38.1043	8.89621	4.29415	3.06602
981.819	14.2917	1.1569	46.852	-7.97151	-38.0382	8.97306	4.33257	3.0951
991.797	14.4369	1.16866	46.8696	-7.97702	-38.0022	9.01154	4.35264	3.1129
1001.85	14.5833	1.18051	46.8709	-8.02846	-37.9226	9.10226	4.39117	3.13582
1011.83	14.7285	1.19227	46.9005	-7.97475	-37.9413	9.07236	4.38298	3.14098
1021.8	14.8737	1.20402	46.9341	-7.94871	-37.9478	9.06544	4.39036	3.15774
1031.85	15.02	1.21586	46.9284	-8.01531	-37.8492	9.1768	4.43486	3.1813
1041.82	15.1651	1.22761	46.9531	-8.01078	-37.8266	9.20148	4.45205	3.20028
1051.8	15.3103	1.23936	46.94	-8.0603	-37.7498	9.28515	4.48125	3.21211
1061.85	15.4566	1.25121	46.9912	-8.03229	-37.7702	9.2698	4.49422	3.23924
1071.82	15.6018	1.26296	46.9904	-8.07308	-37.702	9.34561	4.52478	3.25656
1081.8	15.747	1.27471	47.0031	-8.09012	-37.6568	9.39546	4.54867	3.27502
1091.85	15.8933	1.28655	47.0049	-8.14403	-37.5606	9.50183	4.5923	3.30104
1101.82	16.0385	1.29831	47.0148	-8.16069	-37.5233	9.54384	4.61271	3.31665
1111.8	16.1837	1.31006	47.0437	-8.16817	-37.4941	9.58012	4.63815	3.34242
1121.85	16.33	1.3219	47.0642	-8.12448	-37.5044	9.55944	4.6309	3.34476
1131.82	16.4751	1.33365	47.0735	-8.1533	-37.4618	9.61069	4.65666	3.36355
1141.79	16.6203	1.3454	47.0847	-8.1956	-37.3931	9.69074	4.69464	3.39025
1151.84	16.7666	1.35725	47.1023	-8.18348	-37.3713	9.70999	4.70507	3.40231
1161.81	16.9118	1.369	47.122	-8.17499	-37.3624	9.71979	4.71492	3.41529
1171.86	17.0579	1.38083	47.118	-8.25976	-37.2613	9.84078	4.76779	3.44574
1181.84	17.2032	1.39259	47.1457	-8.22672	-37.2656	9.83162	4.76992	3.45663
1191.81	17.3484	1.40435	47.1696	-8.22394	-37.2421	9.85763	4.78766	3.47578
1201.86	17.4947	1.41619	47.1688	-8.25964	-37.183	9.92337	4.8143	3.4912
