city,site_code,name,longitude,latitude,stateID
Delhi,site_103,"CRRI Mathura Road, Delhi - IMD",77.2735737,28.5512005,Delhi
Delhi,site_104,"Burari Crossing, Delhi - IMD",77.2011573,28.7256504,Delhi
Delhi,site_105,"North Campus, DU, Delhi - IMD",77.1585447,28.6573814,Delhi
Delhi,site_106,"IGI Airport (T3), Delhi - IMD",77.1180053,28.5627763,Delhi
Delhi,site_107,"Pusa, Delhi - IMD",77.173332,28.63611,Delhi
Delhi,site_108,"Aya Nagar, Delhi - IMD",77.1099364,28.4706914,Delhi
Delhi,site_109,"Lodhi Road, Delhi - IMD",77.2273074,28.5918245,Delhi
Noida,site_111,"Sector - 62, Noida - IMD",77.3577104,28.6245479,Uttar Pradesh
Delhi,site_113,"Shadipur, Delhi - CPCB",77.1473105,28.6514781,Delhi
Delhi,site_114,"IHBAS, Dilshad Garden, Delhi - CPCB",77.3025234,28.6811736,Delhi
Delhi,site_115,"NSIT Dwarka, Delhi - CPCB",77.0325413,28.60909,Delhi
Delhi,site_117,"ITO, Delhi - CPCB",77.24106,28.628624,Delhi
Delhi,site_118,"DTU, Delhi - CPCB",77.1112615,28.7500499,Delhi
Delhi,site_119,"Sirifort, Delhi - CPCB",77.2159377,28.5504249,Delhi
Delhi,site_122,"Mandir Marg, Delhi - DPCC",77.201067,28.636429,Delhi
Delhi,site_124,"R K Puram, Delhi - DPCC",77.186937,28.563262,Delhi
Delhi,site_125,"Punjabi Bagh, Delhi - DPCC",77.131023,28.674045,Delhi
Jaipur,site_134,"Police Commissionerate, Jaipur - RSPCB",75.7994901,26.9164092,Rajasthan
Jodhpur,site_136,"Collectorate, Jodhpur - RSPCB",73.0193853,26.268249,Rajasthan
Alwar,site_1390,"Moti Doongri, Alwar - RSPCB",76.611536,27.554793,Rajasthan
Bhiwadi,site_1391,"RIICO Ind. Area III, Bhiwadi - RSPCB",76.862296,28.194909,Rajasthan
Ajmer,site_1392,"Civil Lines,  Ajmer - RSPCB",74.646594,26.470859,Rajasthan
Jaipur,site_1393,"Adarsh Nagar, Jaipur - RSPCB",75.836858,26.902909,Rajasthan
Kota,site_1394,"Shrinath Puram, Kota - RSPCB",75.821256,25.14389,Rajasthan
Pali,site_1395,"Indira Colony Vistar, Pali - RSPCB",73.340227,25.771061,Rajasthan
Jaipur,site_1396,"Shastri Nagar, Jaipur - RSPCB",75.730943,26.9502929,Rajasthan
Udaipur,site_1397,"Ashok Nagar, Udaipur - RSPCB",73.6321397,24.5886166,Rajasthan
Moradabad,site_1398,"Lajpat Nagar, Moradabad - UPPCB",78.7213009,28.825341,Uttar Pradesh
Rajamahendravaram,site_1399,"Anand Kala Kshetram, Rajamahendravaram - APPCB",81.7363176,16.9872867,Andhra Pradesh
Ujjain,site_1400,"Mahakaleshwar Temple, Ujjain - MPPCB",75.768218,23.182719,Madhya Pradesh
Singrauli,site_1401,"Suryakiran Bhawan NCL, Singrauli - MPPCB",82.64558,24.10897,Madhya Pradesh
Pithampur,site_1402,"Sector-2 Industrial Area, Pithampur - MPPCB",75.675238,22.624758,Madhya Pradesh
