las_mnemonic,alias_name
NEUT,N
GAMM,G
CALI,CAL
TEMP,T
COND,CON
CCL,CCL
PH,PH
SP,SP
DEEP,IND
PR,PR
DENS,D
BLKD,DB
GAPI,G
MED_,INM
SPON,SP
BULK,DB
FLOW_SL,F
DB,DB
TCPU,T
COND25C,CON
CASI,CCL
FLOW_SH,F
TDS,SAL
N_CP,N
NEAR,DN
FAR_,DF
POIN,PR
SPCOND,CON
SHOR,DN
LONG,DF
MEDI,INM
PRES,PR
SELF,SP
INDU,IND
COND_25C,CON
DEL TEMP,TD
RES(FL),CON
ORP_MV,DO
DO_SAT,DO
BLK_,DB
NEUTRON,N
TEMPERATURE,T
TILT,DEV
ROLL,DEV
RESI,RES
AZIMUT,DEV
MROLL,DEV
MAGFIELD,MAG
VERT_POS,DEV
APPARENT_CONDUCTIVITY,IND
APPARENT_RESISTIVITY,RES
GAMN,G
EM_INDUCTION,IND
APPARENT CONDUCTIVITY,IND
SALP,SAL
DISS,DO
G,G
CAL,CAL
SUS,SUS
SALI,SAL
I.P.,IPR
G_AP,G
BLFD,DB
T,T
T_DE,T
DIAMETER,CAL
GR,G
DFAR,DF
SUSC,SUS
DNEA,DN
CALIPER,CAL
N,N
IND,IND
NAT_GAMMA,G
APP_COND,IND
BH_DIAMETER,CAL
NAT_GAMMA_SM,G
INCL,DEV
APP_RESISTIVITY_SM,RES
DF,DF
DN,DN
SINGLE_PNT_RES,PR
SPON_POT,SP
APP_RESISTIVITY,RES
DCAL,CAL
DISO,DO
MAG,MAG
%DO,DO
DGAM,G
GAM,G
APP_DENS_FAR,DF
APP_DENS_NEAR,DN
TEMPERATURE#1,T
NAT_GAMMA_(DENS),G
GAMD,G
BH_DIAMETER_(DENS),CAL
INDC,IND
FLOW_NL,F
BULK DENSITY,DB
FLOW,F
64NO,64N
16NO,16N
DBFA,DB
DBNE,DB
SAL,SAL
16IN,16N
COND25C#1,CON
64IN,64N
IND_,IND
TILT#1,DEV
APPARENT_CONDUCTIVITY#1,IND
AMP3FT,CBL
DENSITY_FAR,DF
DENSITY_NEAR,DN
PR-C,PR
MDEE,INM
LAT,LAT
BDEN,DB
MAGFIELD#1,MAG
MAGNFIELD,MAG
AZIMUT#1,DEV
"64""",64N
TTS1,CBL
INDUCTION,IND
MAG_SUSC,SUS
AMPS2,CBL
IND_RES,IND
TT3FT,CBL
TT5FT,CBL
AMP5FT,CBL
AMPS3,CBL
IND_RES#1,IND
GAMMA#1,G
GAMMA,G
EASTING,DEV
NORTHING,DEV
"16""",16N
TTS2,CBL
AMPS4,CBL
AMPS6,CBL
AMPMAX,CBL
TEMP#1,T
TTS5,CBL
TTS3,CBL
G_N,G
CALIPER#1,CAL
G_T,G
TTS6,CBL
AMPS5,CBL
WINAMPL,CBL
WINTIME,CBL
TTS4,CBL
AMPAVG,CBL
AMP5FT_E1_354-399_US,CBL
AMP3FT_E2_291-330_US,CBL
TTS8,CBL
TEMP_DOWN,T
SECT_AMPMAX_E2_231-285_US,CBL
SECT_AMPMIN_E2_231-285_US,CBL
AMPS7,CBL
TTS7,CBL
AMPS8,CBL
CALIPER_CORRECTED,CAL
16N,16N
