#age [Z/H] [alpha/Fe] Hb Mg2 Mgb Fe5270 Fe5335 Fe MgFe
0.6 -1.35 -0.3 5.116 0.02307 0.2761 0.6759 0.778 0.72695 0.44103189998003545
0.8 -1.35 -0.3 4.953 0.02707 0.3743 0.8565 0.8873 0.8719 0.5690482520841269
1 -1.35 -0.3 4.923 0.02968 0.4177 0.9132 0.9259 0.91955 0.6188125574032899
2 -1.35 -0.3 4.362 0.03204 0.5026 0.9681 0.9867 0.9774 0.6994173294964888
3 -1.35 -0.3 3.926 0.03558 0.5702 1.054 1.059 1.0565 0.7757506558166741
4 -1.35 -0.3 3.505 0.03867 0.6194 1.123 1.119 1.121 0.8336021065232501
5 -1.35 -0.3 3.133 0.04165 0.6565 1.179 1.172 1.1755 0.879048781354027
6 -1.35 -0.3 2.844 0.04437 0.6902 1.223 1.213 1.218 0.9177047673407828
7 -1.35 -0.3 2.632 0.04685 0.7213 1.26 1.251 1.2555 0.9523761462783494
8 -1.35 -0.3 2.495 0.04872 0.7449 1.281 1.273 1.277 0.9759858216183265
9 -1.35 -0.3 2.347 0.05106 0.7757 1.313 1.307 1.31 1.0085588351702641
10 -1.35 -0.3 2.251 0.05286 0.8032 1.34 1.335 1.3375 1.0369009210141535
11 -1.35 -0.3 2.182 0.05438 0.8269 1.36 1.356 1.358 1.0600272977617133
12 -1.35 -0.3 2.099 0.0564 0.8565 1.392 1.387 1.3895 1.0913518680975445
13 -1.35 -0.3 2.047 0.05801 0.881 1.413 1.409 1.411 1.1152875324327802
14 -1.35 -0.3 2.006 0.05985 0.9103 1.434 1.43 1.432 1.1420817238709322
15 -1.35 -0.3 2.01 0.06098 0.9209 1.446 1.446 1.446 1.1539590114037845
0.6 -0.33 -0.3 5.063 0.03294 0.4748 1.566 1.675 1.6205 0.8706478599296045
0.8 -0.33 -0.3 4.367 0.05587 0.7187 1.895 1.933 1.9140000000000001 1.1702920438933182
1 -0.33 -0.3 3.744 0.07218 0.9667 2.136 2.155 2.1455 1.4387543376129228
2 -0.33 -0.3 2.883 0.09007 1.266 2.344 2.347 2.3455 1.7229531160191214
3 -0.33 -0.3 2.58 0.09937 1.438 2.427 2.422 2.4245 1.8676222316089515
4 -0.33 -0.3 2.372 0.1065 1.57 2.488 2.477 2.4825 1.9751770553547852
5 -0.33 -0.3 2.238 0.1112 1.656 2.528 2.513 2.5205 2.0443612205283097
6 -0.33 -0.3 2.123 0.1157 1.738 2.569 2.55 2.5595 2.110847185373683
7 -0.33 -0.3 2.023 0.1202 1.814 2.614 2.592 2.6029999999999998 2.174999255172286
8 -0.33 -0.3 1.948 0.1241 1.882 2.651 2.626 2.6384999999999996 2.2306967521382193
9 -0.33 -0.3 1.871 0.1284 1.953 2.694 2.666 2.6799999999999997 2.290430195399982
10 -0.33 -0.3 1.785 0.1337 2.035 2.753 2.722 2.7375 2.3631951252488657
11 -0.33 -0.3 1.715 0.1385 2.107 2.804 2.771 2.7874999999999996 2.426635390824093
12 -0.33 -0.3 1.648 0.1431 2.174 2.856 2.821 2.8385 2.487496492459839
13 -0.33 -0.3 1.592 0.1476 2.237 2.903 2.866 2.8845 2.5437837329458652
14 -0.33 -0.3 1.543 0.1515 2.292 2.946 2.908 2.927 2.5938089983651453
15 -0.33 -0.3 1.501 0.1554 2.345 2.986 2.947 2.9665 2.641318345069371
0.6 0 -0.3 5.173 0.05039 0.6545 1.871 1.871 1.871 1.1066026838933656
0.8 0 -0.3 4.444 0.0634 0.9021 2.105 2.084 2.0945 1.3760872617679447
1 0 -0.3 3.868 0.08462 1.156 2.344 2.329 2.3365 1.644630292801394
2 0 -0.3 2.631 0.1199 1.739 2.769 2.751 2.76 2.1923791734095635
3 0 -0.3 2.266 0.1366 2.016 2.963 2.954 2.9585 2.4430161030987905
4 0 -0.3 2.119 0.1457 2.19 3.032 3.018 3.025 2.5751689653302363
5 0 -0.3 1.984 0.1547 2.349 3.11 3.09 3.0999999999999996 2.700413968264866
6 0 -0.3 1.882 0.162 2.481 3.176 3.15 3.1630000000000003 2.8038534769135137
7 0 -0.3 1.828 0.1667 2.576 3.208 3.177 3.1925 2.870792280886933
8 0 -0.3 1.787 0.1711 2.659 3.236 3.201 3.2185 2.9289018078453912
9 0 -0.3 1.721 0.1774 2.763 3.29 3.252 3.271 3.0101281833171156
10 0 -0.3 1.675 0.1824 2.847 3.328 3.286 3.307 3.072675589775139
11 0 -0.3 1.614 0.1893 2.949 3.387 3.344 3.3655 3.154799049067943
12 0 -0.3 1.564 0.1951 3.033 3.437 3.393 3.415 3.2228953504574114
13 0 -0.3 1.521 0.2004 3.106 3.483 3.439 3.4610000000000003 3.2832806885796404
14 0 -0.3 1.481 0.2053 3.169 3.526 3.483 3.5045 3.3370255078437743
15 0 -0.3 1.442 0.2102 3.224 3.567 3.526 3.5465 3.385704724278241
0.6 0.35 -0.3 4.411 0.07024 0.8779 2.711 2.648 2.6795 1.5376933192285125
