Hbeta Mg2 Mgb Fe5270 Fe5335 Nad C2_4668 Ca4455 Ca4227 G4300 Fe4383 Fe4531 Fe5015 Mg1 Fe5406 Fe5709 Fe5782 TiO1 TiO2
1.136E-09 2.469E-10 -1.481E-09 -1.481E-09 2.963E-10 1.975E-09 -2.963E-10 4.198E-09 9.432E-09 3.457E-10 -9.877E-10 -1.136E-09 1.926E-09 -4.938E-10 7.901E-10 4.839E-09 5.926E-09 -3.753E-09 -7.901E-10
2.667E-07 -4.445E-08 2.8E-06 2.667E-06 5.444E-06 2E-07 1.244E-06 2.467E-06 1.356E-06 4E-07 1.933E-06 2.578E-06 2.578E-06 5.333E-07 4.956E-06 6.222E-07 2.867E-06 3.178E-06 7.111E-07
7.444E-05 3.444E-05 -9.333E-05 4E-05 -5.667E-05 5.222E-05 -6.667E-06 0.0001489 0.0001378 7.222E-05 5.553E-06 3.889E-05 9.667E-05 -2.223E-06 -6.778E-05 0.0002111 0.0001033 -0.0003922 -8.889E-05
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
