#age [Z/H] [alpha/Fe] Hbeta Mg2 Mgb Fe5270 Fe5335 Fe MgFe
0.6 -0.96 -0.2 5.444 0.02 0.581 0.685 0.701 0.693 0.633
0.7 -0.96 -0.2 5.378 0.02 0.596 0.712 0.721 0.716 0.653
0.8 -0.96 -0.2 5.337 0.02 0.611 0.742 0.741 0.742 0.673
0.9 -0.96 -0.2 5.188 0.02 0.647 0.782 0.77 0.776 0.71
1 -0.96 -0.2 4.821 0.022 0.662 0.84 0.826 0.833 0.744
1.25 -0.96 -0.2 3.817 0.033 0.766 1.068 1.034 1.051 0.901
1.5 -0.96 -0.2 3.498 0.036 0.74 1.15 1.112 1.131 0.918
1.75 -0.96 -0.2 3.536 0.037 0.73 1.18 1.15 1.165 0.925
2 -0.96 -0.2 3.487 0.038 0.741 1.201 1.165 1.183 0.939
2.25 -0.96 -0.2 3.27 0.039 0.757 1.237 1.203 1.22 0.964
2.5 -0.96 -0.2 3.143 0.041 0.766 1.265 1.229 1.247 0.981
2.75 -0.96 -0.2 3.142 0.04 0.762 1.247 1.22 1.234 0.972
3 -0.96 -0.2 3.083 0.041 0.772 1.264 1.236 1.25 0.984
3.25 -0.96 -0.2 3.002 0.042 0.787 1.281 1.251 1.266 1.001
3.5 -0.96 -0.2 2.959 0.043 0.793 1.285 1.257 1.271 1.006
3.75 -0.96 -0.2 2.889 0.043 0.801 1.301 1.274 1.288 1.018
4 -0.96 -0.2 2.778 0.044 0.805 1.321 1.293 1.307 1.028
4.5 -0.96 -0.2 2.618 0.046 0.814 1.356 1.327 1.342 1.047
5 -0.96 -0.2 2.576 0.047 0.83 1.371 1.345 1.358 1.064
5.5 -0.96 -0.2 2.459 0.049 0.841 1.395 1.368 1.382 1.08
6 -0.96 -0.2 2.367 0.05 0.846 1.415 1.391 1.403 1.091
6.5 -0.96 -0.2 2.298 0.052 0.858 1.437 1.414 1.425 1.108
7 -0.96 -0.2 2.247 0.053 0.855 1.445 1.426 1.435 1.109
7.5 -0.96 -0.2 2.192 0.053 0.861 1.458 1.439 1.449 1.118
8 -0.96 -0.2 2.144 0.055 0.869 1.482 1.458 1.47 1.132
8.5 -0.96 -0.2 2.109 0.056 0.89 1.501 1.475 1.488 1.153
9 -0.96 -0.2 2.064 0.057 0.894 1.519 1.489 1.504 1.162
9.5 -0.96 -0.2 2.022 0.058 0.903 1.532 1.501 1.517 1.173
10 -0.96 -0.2 2.056 0.058 0.911 1.513 1.485 1.499 1.171
10.5 -0.96 -0.2 2.175 0.058 0.916 1.503 1.476 1.489 1.17
11 -0.96 -0.2 2.286 0.058 0.928 1.502 1.48 1.491 1.178
11.5 -0.96 -0.2 2.356 0.058 0.946 1.497 1.483 1.49 1.189
