#age [Z/H] [alpha/Fe] Hbeta Mg2 Mgb Fe5270 Fe5335 Fe MgFe
12 -0.96 -0.2 2.419 0.059 0.971 1.5 1.49 1.495 1.206
12.5 -0.96 -0.2 2.495 0.059 0.978 1.506 1.498 1.502 1.213
13 -0.96 -0.2 2.553 0.061 0.997 1.523 1.514 1.518 1.231
13.5 -0.96 -0.2 2.562 0.062 1.003 1.533 1.525 1.529 1.239
14 -0.96 -0.2 2.575 0.063 1.006 1.555 1.547 1.551 1.25
0.6 -0.66 -0.2 5.932 0.024 0.559 0.822 0.824 0.823 0.678
0.7 -0.66 -0.2 5.841 0.022 0.594 0.849 0.847 0.848 0.71
0.8 -0.66 -0.2 5.653 0.023 0.627 0.891 0.881 0.886 0.746
0.9 -0.66 -0.2 5.434 0.024 0.647 0.913 0.916 0.914 0.769
1 -0.66 -0.2 5.014 0.028 0.707 1.001 0.999 1 0.841
1.25 -0.66 -0.2 4.032 0.045 0.821 1.301 1.274 1.288 1.031
1.5 -0.66 -0.2 3.714 0.051 0.887 1.477 1.418 1.447 1.138
1.75 -0.66 -0.2 3.243 0.058 0.934 1.542 1.497 1.52 1.195
2 -0.66 -0.2 3.184 0.058 0.96 1.562 1.514 1.538 1.219
2.25 -0.66 -0.2 3.033 0.06 0.984 1.604 1.55 1.577 1.251
2.5 -0.66 -0.2 2.903 0.062 0.999 1.66 1.592 1.626 1.28
2.75 -0.66 -0.2 2.793 0.064 1.027 1.693 1.617 1.655 1.31
3 -0.66 -0.2 2.785 0.064 1.044 1.684 1.614 1.649 1.318
3.25 -0.66 -0.2 2.698 0.065 1.06 1.714 1.635 1.674 1.339
3.5 -0.66 -0.2 2.593 0.066 1.068 1.746 1.665 1.705 1.356
3.75 -0.66 -0.2 2.507 0.068 1.093 1.775 1.693 1.734 1.384
4 -0.66 -0.2 2.464 0.068 1.097 1.775 1.697 1.736 1.387
4.5 -0.66 -0.2 2.358 0.07 1.121 1.785 1.712 1.748 1.406
5 -0.66 -0.2 2.271 0.071 1.152 1.782 1.716 1.749 1.425
5.5 -0.66 -0.2 2.208 0.073 1.178 1.787 1.721 1.754 1.444
6 -0.66 -0.2 2.141 0.075 1.213 1.815 1.743 1.779 1.475
6.5 -0.66 -0.2 2.09 0.076 1.234 1.834 1.763 1.799 1.496
7 -0.66 -0.2 2.022 0.078 1.262 1.854 1.779 1.816 1.521
7.5 -0.66 -0.2 1.984 0.079 1.276 1.868 1.792 1.83 1.535
8 -0.66 -0.2 1.954 0.081 1.293 1.886 1.811 1.848 1.553
8.5 -0.66 -0.2 1.934 0.082 1.305 1.903 1.827 1.865 1.567
9 -0.66 -0.2 1.919 0.083 1.324 1.925 1.847 1.886 1.587
9.5 -0.66 -0.2 1.892 0.084 1.342 1.943 1.867 1.905 1.606
10 -0.66 -0.2 1.874 0.086 1.362 1.952 1.877 1.915 1.622
10.5 -0.66 -0.2 1.844 0.087 1.372 1.967 1.892 1.929 1.634
11 -0.66 -0.2 1.824 0.088 1.391 1.982 1.909 1.945 1.652
11.5 -0.66 -0.2 1.822 0.089 1.417 1.991 1.918 1.955 1.671
12 -0.66 -0.2 1.819 0.09 1.432 1.997 1.926 1.961 1.683
12.5 -0.66 -0.2 1.814 0.091 1.449 2.006 1.935 1.971 1.697
13 -0.66 -0.2 1.815 0.092 1.468 2.014 1.945 1.98 1.711
13.5 -0.66 -0.2 1.81 0.093 1.484 2.021 1.952 1.987 1.724
14 -0.66 -0.2 1.907 0.092 1.497 1.969 1.92 1.944 1.711
0.6 -0.35 -0.2 6.234 0.029 0.725 1.021 0.997 1.009 0.858
0.7 -0.35 -0.2 5.98 0.032 0.815 1.11 1.085 1.098 0.948
0.8 -0.35 -0.2 5.632 0.035 0.855 1.214 1.167 1.191 1.013
0.9 -0.35 -0.2 5.271 0.039 0.878 1.309 1.243 1.276 1.064
1 -0.35 -0.2 4.931 0.042 0.937 1.406 1.322 1.364 1.138
1.25 -0.35 -0.2 3.971 0.063 1.107 1.763 1.677 1.72 1.387
1.5 -0.35 -0.2 3.154 0.088 1.225 2.174 2.117 2.146 1.626
1.75 -0.35 -0.2 3.115 0.082 1.268 2.035 1.977 2.006 1.6
2 -0.35 -0.2 2.847 0.089 1.344 2.103 2.045 2.074 1.675
2.25 -0.35 -0.2 2.76 0.09 1.376 2.099 2.041 2.07 1.693
2.5 -0.35 -0.2 2.656 0.092 1.414 2.115 2.049 2.082 1.722
2.75 -0.35 -0.2 2.548 0.094 1.473 2.157 2.068 2.112 1.772
3 -0.35 -0.2 2.46 0.097 1.519 2.196 2.112 2.154 1.816
3.25 -0.35 -0.2 2.406 0.099 1.547 2.216 2.129 2.173 1.841
3.5 -0.35 -0.2 2.369 0.099 1.566 2.225 2.139 2.182 1.856
3.75 -0.35 -0.2 2.337 0.1 1.577 2.244 2.156 2.2 1.871
4 -0.35 -0.2 2.285 0.102 1.599 2.261 2.17 2.216 1.891
4.5 -0.35 -0.2 2.194 0.104 1.645 2.306 2.198 2.252 1.935
5 -0.35 -0.2 2.147 0.106 1.686 2.317 2.206 2.262 1.963
5.5 -0.35 -0.2 2.078 0.109 1.728 2.347 2.236 2.291 2
6 -0.35 -0.2 2.013 0.112 1.777 2.37 2.263 2.317 2.039
6.5 -0.35 -0.2 1.967 0.114 1.824 2.384 2.276 2.33 2.072
7 -0.35 -0.2 1.914 0.116 1.864 2.409 2.3 2.355 2.106
7.5 -0.35 -0.2 1.872 0.119 1.897 2.44 2.33 2.385 2.138
8 -0.35 -0.2 1.828 0.121 1.929 2.455 2.347 2.401 2.163
8.5 -0.35 -0.2 1.787 0.123 1.966 2.48 2.367 2.424 2.194
9 -0.35 -0.2 1.747 0.125 2.002 2.496 2.385 2.441 2.221
9.5 -0.35 -0.2 1.727 0.127 2.025 2.526 2.411 2.469 2.247
10 -0.35 -0.2 1.701 0.128 2.038 2.534 2.42 2.477 2.258
10.5 -0.35 -0.2 1.674 0.129 2.052 2.533 2.423 2.478 2.266
11 -0.35 -0.2 1.656 0.13 2.072 2.546 2.436 2.491 2.283
11.5 -0.35 -0.2 1.629 0.131 2.075 2.551 2.443 2.497 2.287
12 -0.35 -0.2 1.607 0.132 2.086 2.565 2.461 2.513 2.3
12.5 -0.35 -0.2 1.573 0.133 2.095 2.584 2.477 2.53 2.313
13 -0.35 -0.2 1.548 0.135 2.118 2.588 2.483 2.535 2.328
13.5 -0.35 -0.2 1.525 0.136 2.145 2.602 2.498 2.55 2.349
14 -0.35 -0.2 1.543 0.137 2.15 2.601 2.503 2.552 2.352
0.6 0.06 -0.2 5.839 0.044 0.867 1.447 1.339 1.393 1.109
0.7 0.06 -0.2 5.467 0.05 0.932 1.608 1.481 1.545 1.21
0.8 0.06 -0.2 5.156 0.057 0.999 1.785 1.642 1.713 1.321
0.9 0.06 -0.2 4.674 0.061 1.086 1.892 1.751 1.821 1.418
1 0.06 -0.2 4.261 0.065 1.142 1.932 1.798 1.865 1.471
1.25 0.06 -0.2 3.475 0.083 1.37 2.247 2.107 2.177 1.739
1.5 0.06 -0.2 3.078 0.1 1.471 2.497 2.401 2.449 1.906
1.75 0.06 -0.2 2.819 0.105 1.611 2.566 2.47 2.518 2.022
2 0.06 -0.2 2.622 0.113 1.73 2.658 2.56 2.609 2.134
2.25 0.06 -0.2 2.465 0.12 1.848 2.734 2.639 2.686 2.236
2.5 0.06 -0.2 2.328 0.126 1.945 2.812 2.712 2.762 2.327
2.75 0.06 -0.2 2.249 0.131 2.006 2.852 2.754 2.803 2.381
3 0.06 -0.2 2.246 0.131 2.048 2.834 2.735 2.784 2.397
3.25 0.06 -0.2 2.166 0.136 2.122 2.884 2.782 2.833 2.461
3.5 0.06 -0.2 2.095 0.139 2.161 2.924 2.817 2.87 2.501
3.75 0.06 -0.2 2.042 0.143 2.21 2.958 2.847 2.903 2.543
4 0.06 -0.2 1.993 0.147 2.265 3.005 2.893 2.949 2.595
4.5 0.06 -0.2 1.935 0.152 2.351 3.058 2.941 2.999 2.667
5 0.06 -0.2 1.925 0.153 2.357 3.054 2.936 2.995 2.668
5.5 0.06 -0.2 1.858 0.158 2.431 3.113 2.987 3.05 2.735
6 0.06 -0.2 1.799 0.163 2.491 3.156 3.038 3.097 2.789
6.5 0.06 -0.2 1.754 0.167 2.546 3.195 3.076 3.136 2.837
7 0.06 -0.2 1.698 0.171 2.606 3.241 3.117 3.179 2.89
7.5 0.06 -0.2 1.659 0.175 2.668 3.272 3.147 3.209 2.939
8 0.06 -0.2 1.613 0.178 2.714 3.303 3.177 3.24 2.978
8.5 0.06 -0.2 1.571 0.181 2.742 3.333 3.205 3.269 3.006
9 0.06 -0.2 1.54 0.183 2.776 3.359 3.228 3.293 3.037
9.5 0.06 -0.2 1.511 0.186 2.805 3.386 3.251 3.319 3.065
10 0.06 -0.2 1.48 0.188 2.826 3.412 3.275 3.344 3.088
10.5 0.06 -0.2 1.453 0.19 2.846 3.44 3.303 3.372 3.111
11 0.06 -0.2 1.431 0.193 2.883 3.461 3.328 3.395 3.142
11.5 0.06 -0.2 1.409 0.196 2.907 3.484 3.351 3.417 3.165
12 0.06 -0.2 1.381 0.198 2.942 3.507 3.373 3.44 3.195
12.5 0.06 -0.2 1.354 0.201 2.973 3.529 3.393 3.461 3.221
13 0.06 -0.2 1.303 0.203 2.974 3.56 3.43 3.495 3.237
13.5 0.06 -0.2 1.276 0.205 2.985 3.574 3.448 3.511 3.25
14 0.06 -0.2 1.255 0.207 3.009 3.588 3.461 3.524 3.269
0.6 0.26 -0.2 5.49 0.053 0.839 1.782 1.621 1.701 1.207
0.7 0.26 -0.2 4.996 0.059 0.935 1.912 1.755 1.833 1.321
0.8 0.26 -0.2 4.574 0.067 1.037 2.057 1.904 1.981 1.445
0.9 0.26 -0.2 4.193 0.074 1.161 2.154 2.013 2.084 1.567
1 0.26 -0.2 3.964 0.081 1.311 2.219 2.085 2.152 1.691
1.25 0.26 -0.2 3.292 0.101 1.662 2.456 2.319 2.388 2.004
1.5 0.26 -0.2 2.864 0.129 2.025 2.712 2.606 2.659 2.33
1.75 0.26 -0.2 2.805 0.131 2.111 2.682 2.572 2.627 2.366
2 0.26 -0.2 2.628 0.134 2.201 2.74 2.618 2.679 2.44
2.25 0.26 -0.2 2.479 0.144 2.346 2.833 2.706 2.769 2.562
2.5 0.26 -0.2 2.344 0.153 2.466 2.913 2.786 2.849 2.664
2.75 0.26 -0.2 2.204 0.163 2.599 3.002 2.877 2.939 2.777
3 0.26 -0.2 2.125 0.169 2.725 3.072 2.932 3.002 2.875
3.25 0.26 -0.2 2.152 0.166 2.706 3.032 2.9 2.966 2.847
3.5 0.26 -0.2 2.092 0.17 2.754 3.063 2.935 2.999 2.887
3.75 0.26 -0.2 2.03 0.173 2.795 3.095 2.965 3.03 2.924
4 0.26 -0.2 1.976 0.177 2.867 3.133 3.001 3.067 2.98
4.5 0.26 -0.2 1.91 0.183 2.937 3.192 3.055 3.123 3.043
5 0.26 -0.2 1.843 0.191 3.073 3.261 3.112 3.187 3.145
5.5 0.26 -0.2 1.857 0.188 3.034 3.232 3.092 3.162 3.113
6 0.26 -0.2 1.799 0.193 3.123 3.283 3.133 3.208 3.182
6.5 0.26 -0.2 1.741 0.199 3.186 3.333 3.181 3.257 3.237
7 0.26 -0.2 1.711 0.202 3.23 3.362 3.211 3.287 3.275
7.5 0.26 -0.2 1.656 0.208 3.294 3.407 3.261 3.334 3.33
8 0.26 -0.2 1.611 0.213 3.341 3.454 3.312 3.383 3.377
8.5 0.26 -0.2 1.578 0.215 3.389 3.475 3.334 3.405 3.412
9 0.26 -0.2 1.54 0.219 3.434 3.504 3.361 3.432 3.449
9.5 0.26 -0.2 1.514 0.221 3.451 3.531 3.388 3.459 3.471
10 0.26 -0.2 1.478 0.224 3.48 3.56 3.42 3.49 3.5
10.5 0.26 -0.2 1.449 0.226 3.508 3.588 3.45 3.519 3.529
11 0.26 -0.2 1.392 0.231 3.537 3.616 3.488 3.552 3.559
11.5 0.26 -0.2 1.358 0.234 3.576 3.642 3.513 3.578 3.591
12 0.26 -0.2 1.32 0.237 3.609 3.667 3.539 3.603 3.62
12.5 0.26 -0.2 1.298 0.239 3.625 3.689 3.563 3.626 3.639
13 0.26 -0.2 1.273 0.242 3.655 3.712 3.587 3.65 3.666
13.5 0.26 -0.2 1.242 0.245 3.671 3.734 3.617 3.675 3.686
14 0.26 -0.2 1.211 0.248 3.707 3.758 3.642 3.7 3.716
0.6 -0.96 0 5.418 0.022 0.681 0.701 0.694 0.697 0.69
0.7 -0.96 0 5.406 0.022 0.719 0.717 0.708 0.712 0.717
0.8 -0.96 0 5.367 0.022 0.747 0.741 0.723 0.732 0.741
0.9 -0.96 0 5.196 0.023 0.786 0.778 0.752 0.765 0.779
1 -0.96 0 4.874 0.025 0.821 0.844 0.81 0.827 0.828
1.25 -0.96 0 4.036 0.035 0.933 1.05 1.003 1.027 0.984
1.5 -0.96 0 3.555 0.039 0.942 1.165 1.106 1.135 1.04
1.75 -0.96 0 3.606 0.041 0.94 1.192 1.136 1.164 1.052
2 -0.96 0 3.474 0.042 0.947 1.212 1.152 1.182 1.064
2.25 -0.96 0 3.144 0.044 0.976 1.251 1.187 1.219 1.097
2.5 -0.96 0 3.033 0.046 0.999 1.278 1.214 1.246 1.122
2.75 -0.96 0 3.072 0.046 1.005 1.266 1.208 1.237 1.121
3 -0.96 0 2.97 0.047 1.024 1.28 1.222 1.251 1.137
3.25 -0.96 0 2.938 0.048 1.036 1.291 1.233 1.262 1.149
3.5 -0.96 0 2.897 0.048 1.05 1.293 1.237 1.265 1.158
3.75 -0.96 0 2.852 0.049 1.06 1.305 1.25 1.278 1.169
4 -0.96 0 2.8 0.05 1.076 1.316 1.262 1.289 1.183
4.5 -0.96 0 2.763 0.052 1.095 1.337 1.283 1.31 1.203
5 -0.96 0 2.69 0.053 1.118 1.348 1.296 1.322 1.221
5.5 -0.96 0 2.565 0.055 1.137 1.375 1.319 1.347 1.244
6 -0.96 0 2.52 0.056 1.143 1.394 1.34 1.367 1.256
6.5 -0.96 0 2.468 0.058 1.155 1.41 1.356 1.383 1.269
7 -0.96 0 2.417 0.059 1.168 1.424 1.369 1.396 1.283
7.5 -0.96 0 2.362 0.061 1.188 1.443 1.387 1.415 1.302
8 -0.96 0 2.3 0.062 1.209 1.464 1.406 1.435 1.323
8.5 -0.96 0 2.243 0.064 1.22 1.485 1.425 1.455 1.339
9 -0.96 0 2.197 0.064 1.222 1.497 1.432 1.464 1.344
9.5 -0.96 0 2.166 0.065 1.238 1.508 1.444 1.476 1.358
10 -0.96 0 2.238 0.066 1.245 1.497 1.428 1.463 1.357
10.5 -0.96 0 2.304 0.065 1.222 1.469 1.411 1.44 1.332
11 -0.96 0 2.381 0.065 1.241 1.465 1.411 1.438 1.341
11.5 -0.96 0 2.501 0.065 1.235 1.468 1.418 1.443 1.34
12 -0.96 0 2.577 0.066 1.245 1.466 1.419 1.443 1.345
12.5 -0.96 0 2.644 0.066 1.253 1.472 1.424 1.448 1.352
13 -0.96 0 2.716 0.067 1.258 1.487 1.436 1.462 1.361
13.5 -0.96 0 2.715 0.068 1.265 1.501 1.447 1.474 1.371
14 -0.96 0 2.709 0.07 1.278 1.524 1.47 1.497 1.389
0.6 -0.66 0 5.855 0.025 0.715 0.794 0.785 0.789 0.752
0.7 -0.66 0 5.683 0.025 0.746 0.835 0.819 0.827 0.787
0.8 -0.66 0 5.486 0.026 0.788 0.879 0.855 0.867 0.829
0.9 -0.66 0 5.181 0.028 0.847 0.927 0.907 0.917 0.883
1 -0.66 0 4.886 0.031 0.895 0.96 0.954 0.957 0.926
1.25 -0.66 0 3.938 0.05 1.138 1.292 1.243 1.268 1.206
1.5 -0.66 0 3.538 0.055 1.119 1.361 1.316 1.338 1.228
1.75 -0.66 0 3.266 0.062 1.218 1.455 1.421 1.438 1.327
2 -0.66 0 3.232 0.063 1.251 1.464 1.425 1.445 1.348
2.25 -0.66 0 3.094 0.065 1.285 1.497 1.451 1.474 1.381
2.5 -0.66 0 2.936 0.068 1.328 1.539 1.484 1.512 1.422
2.75 -0.66 0 2.86 0.069 1.352 1.569 1.506 1.537 1.448
3 -0.66 0 2.864 0.069 1.364 1.565 1.502 1.534 1.453
3.25 -0.66 0 2.778 0.07 1.381 1.591 1.522 1.557 1.474
3.5 -0.66 0 2.705 0.072 1.406 1.613 1.538 1.576 1.496
3.75 -0.66 0 2.646 0.074 1.439 1.631 1.555 1.593 1.522
4 -0.66 0 2.605 0.075 1.457 1.633 1.557 1.595 1.533
4.5 -0.66 0 2.488 0.077 1.495 1.651 1.58 1.616 1.562
5 -0.66 0 2.37 0.08 1.544 1.674 1.609 1.642 1.599
5.5 -0.66 0 2.295 0.082 1.577 1.683 1.622 1.652 1.62
6 -0.66 0 2.231 0.082 1.57 1.69 1.629 1.66 1.621
6.5 -0.66 0 2.163 0.084 1.6 1.704 1.641 1.672 1.642
7 -0.66 0 2.103 0.086 1.63 1.721 1.652 1.687 1.666
7.5 -0.66 0 2.055 0.088 1.646 1.741 1.669 1.705 1.683
8 -0.66 0 2.026 0.089 1.673 1.747 1.677 1.712 1.7
8.5 -0.66 0 1.996 0.09 1.693 1.759 1.694 1.726 1.717
9 -0.66 0 1.977 0.092 1.718 1.782 1.712 1.747 1.74
9.5 -0.66 0 1.957 0.093 1.743 1.805 1.732 1.768 1.764
10 -0.66 0 1.938 0.095 1.769 1.818 1.745 1.781 1.783
10.5 -0.66 0 1.917 0.096 1.794 1.831 1.753 1.792 1.802
11 -0.66 0 1.898 0.097 1.821 1.844 1.765 1.805 1.822
11.5 -0.66 0 1.898 0.098 1.833 1.857 1.78 1.819 1.834
12 -0.66 0 1.907 0.099 1.846 1.859 1.786 1.822 1.842
12.5 -0.66 0 1.912 0.099 1.859 1.867 1.792 1.829 1.852
13 -0.66 0 1.923 0.101 1.879 1.877 1.803 1.84 1.868
13.5 -0.66 0 1.919 0.101 1.88 1.881 1.811 1.846 1.87
14 -0.66 0 2.023 0.1 1.875 1.841 1.791 1.816 1.851
0.6 -0.35 0 6.177 0.029 0.789 0.961 0.943 0.952 0.869
0.7 -0.35 0 5.857 0.032 0.894 1.033 1.027 1.03 0.96
0.8 -0.35 0 5.477 0.036 0.955 1.126 1.097 1.112 1.033
0.9 -0.35 0 5.189 0.039 1.014 1.206 1.162 1.184 1.1
1 -0.35 0 4.9 0.043 1.076 1.296 1.23 1.263 1.173
1.25 -0.35 0 3.986 0.062 1.297 1.63 1.546 1.588 1.443
1.5 -0.35 0 3.229 0.094 1.637 1.98 1.917 1.949 1.792
1.75 -0.35 0 3.172 0.084 1.593 1.926 1.834 1.88 1.74
2 -0.35 0 2.85 0.092 1.712 2.048 1.946 1.997 1.859
2.25 -0.35 0 2.76 0.094 1.764 2.041 1.945 1.993 1.885
2.5 -0.35 0 2.673 0.096 1.814 2.035 1.934 1.985 1.908
2.75 -0.35 0 2.601 0.099 1.882 2.039 1.934 1.986 1.945
3 -0.35 0 2.521 0.102 1.951 2.061 1.95 2.006 1.99
3.25 -0.35 0 2.473 0.104 1.986 2.083 1.971 2.027 2.019
3.5 -0.35 0 2.449 0.106 2.032 2.091 1.978 2.034 2.045
3.75 -0.35 0 2.423 0.107 2.05 2.09 1.978 2.034 2.054
4 -0.35 0 2.375 0.108 2.077 2.108 1.991 2.05 2.076
4.5 -0.35 0 2.299 0.112 2.143 2.139 2.022 2.08 2.124
5 -0.35 0 2.258 0.113 2.173 2.149 2.032 2.091 2.144
5.5 -0.35 0 2.189 0.117 2.24 2.172 2.051 2.111 2.188
6 -0.35 0 2.124 0.121 2.311 2.197 2.076 2.136 2.236
6.5 -0.35 0 2.095 0.123 2.354 2.211 2.09 2.151 2.264
7 -0.35 0 2.046 0.126 2.407 2.232 2.113 2.172 2.3
7.5 -0.35 0 2.001 0.128 2.437 2.249 2.128 2.188 2.324
8 -0.35 0 1.962 0.13 2.472 2.263 2.138 2.201 2.347
8.5 -0.35 0 1.927 0.132 2.511 2.28 2.151 2.216 2.374
9 -0.35 0 1.899 0.134 2.548 2.299 2.168 2.234 2.401
9.5 -0.35 0 1.872 0.136 2.585 2.314 2.181 2.247 2.426
10 -0.35 0 1.842 0.138 2.617 2.329 2.196 2.262 2.449
10.5 -0.35 0 1.819 0.139 2.634 2.339 2.205 2.272 2.462
11 -0.35 0 1.8 0.141 2.666 2.35 2.221 2.286 2.484
11.5 -0.35 0 1.773 0.143 2.702 2.372 2.235 2.303 2.511
12 -0.35 0 1.763 0.145 2.723 2.383 2.246 2.315 2.527
12.5 -0.35 0 1.743 0.146 2.731 2.39 2.255 2.323 2.535
13 -0.35 0 1.723 0.147 2.731 2.394 2.261 2.327 2.537
13.5 -0.35 0 1.702 0.149 2.75 2.404 2.274 2.339 2.552
14 -0.35 0 1.717 0.149 2.726 2.397 2.274 2.335 2.538
0.6 0.06 0 5.889 0.045 1.099 1.428 1.307 1.367 1.238
0.7 0.06 0 5.492 0.052 1.168 1.579 1.434 1.506 1.341
0.8 0.06 0 5.096 0.058 1.274 1.747 1.573 1.66 1.471
0.9 0.06 0 4.643 0.064 1.4 1.858 1.682 1.77 1.592
1 0.06 0 4.293 0.068 1.487 1.865 1.712 1.788 1.646
1.25 0.06 0 3.566 0.092 1.779 2.183 2.015 2.099 1.949
1.5 0.06 0 3.179 0.11 2.062 2.342 2.225 2.284 2.182
1.75 0.06 0 2.995 0.116 2.218 2.414 2.292 2.353 2.298
2 0.06 0 2.819 0.125 2.394 2.478 2.369 2.424 2.421
2.25 0.06 0 2.655 0.132 2.52 2.539 2.428 2.483 2.514
2.5 0.06 0 2.514 0.141 2.67 2.626 2.499 2.563 2.63
2.75 0.06 0 2.456 0.146 2.766 2.675 2.538 2.606 2.7
3 0.06 0 2.433 0.147 2.798 2.654 2.512 2.583 2.705
3.25 0.06 0 2.364 0.151 2.868 2.695 2.547 2.621 2.759
3.5 0.06 0 2.313 0.155 2.929 2.728 2.582 2.655 2.805
3.75 0.06 0 2.268 0.158 2.985 2.758 2.616 2.687 2.848
4 0.06 0 2.228 0.162 3.044 2.789 2.644 2.716 2.892
4.5 0.06 0 2.172 0.166 3.121 2.842 2.685 2.763 2.955
5 0.06 0 2.163 0.168 3.141 2.841 2.682 2.761 2.964
5.5 0.06 0 2.109 0.173 3.239 2.9 2.732 2.816 3.04
6 0.06 0 2.069 0.178 3.315 2.945 2.769 2.857 3.098
6.5 0.06 0 2.029 0.181 3.365 2.973 2.792 2.882 3.136
7 0.06 0 1.986 0.185 3.419 3.003 2.82 2.911 3.177
7.5 0.06 0 1.945 0.189 3.469 3.033 2.846 2.94 3.216
8 0.06 0 1.903 0.193 3.521 3.06 2.87 2.965 3.253
8.5 0.06 0 1.861 0.196 3.571 3.088 2.893 2.991 3.292
9 0.06 0 1.829 0.199 3.615 3.107 2.912 3.01 3.322
9.5 0.06 0 1.802 0.202 3.663 3.131 2.938 3.035 3.357
10 0.06 0 1.781 0.206 3.71 3.159 2.968 3.064 3.394
10.5 0.06 0 1.754 0.208 3.745 3.178 2.989 3.083 3.421
11 0.06 0 1.741 0.21 3.782 3.193 2.997 3.095 3.445
11.5 0.06 0 1.719 0.212 3.815 3.214 3.015 3.114 3.471
12 0.06 0 1.702 0.214 3.845 3.237 3.031 3.134 3.496
12.5 0.06 0 1.68 0.217 3.871 3.261 3.048 3.155 3.52
13 0.06 0 1.653 0.219 3.893 3.285 3.077 3.181 3.544
13.5 0.06 0 1.625 0.221 3.908 3.299 3.095 3.197 3.559
14 0.06 0 1.609 0.223 3.934 3.305 3.102 3.203 3.574
0.6 0.26 0 5.667 0.053 1.104 1.679 1.509 1.594 1.342
0.7 0.26 0 5.172 0.058 1.216 1.853 1.67 1.761 1.48
0.8 0.26 0 4.709 0.066 1.34 1.986 1.802 1.894 1.61
0.9 0.26 0 4.389 0.072 1.474 2.047 1.875 1.961 1.716
1 0.26 0 4.072 0.078 1.594 2.112 1.941 2.026 1.814
1.25 0.26 0 3.376 0.103 2.079 2.352 2.194 2.273 2.19
1.5 0.26 0 2.951 0.134 2.473 2.611 2.501 2.556 2.526
1.75 0.26 0 2.903 0.132 2.488 2.579 2.456 2.517 2.516
2 0.26 0 2.764 0.136 2.563 2.657 2.524 2.59 2.591
2.25 0.26 0 2.641 0.144 2.699 2.736 2.591 2.664 2.698
2.5 0.26 0 2.509 0.155 2.876 2.829 2.676 2.753 2.831
2.75 0.26 0 2.394 0.163 2.992 2.893 2.746 2.819 2.921
3 0.26 0 2.318 0.169 3.073 2.933 2.787 2.86 2.981
3.25 0.26 0 2.306 0.171 3.155 2.937 2.786 2.862 3.022
3.5 0.26 0 2.265 0.176 3.234 2.967 2.814 2.89 3.075
3.75 0.26 0 2.218 0.181 3.301 3.01 2.853 2.931 3.129
4 0.26 0 2.164 0.186 3.395 3.07 2.905 2.987 3.204
4.5 0.26 0 2.104 0.192 3.473 3.106 2.945 3.026 3.261
5 0.26 0 2.05 0.198 3.574 3.15 2.989 3.07 3.331
