source,destination,distance,source_lat,source_lng,destination_lat,destination_lng
"cell-(6, 9)","cell-(5, 9)",1,6,9,5,9
"cell-(6, 9)","cell-(7, 9)",1,6,9,7,9
"cell-(6, 6)","cell-(5, 6)",1,6,6,5,6
"cell-(6, 6)","cell-(7, 6)",1,6,6,7,6
"cell-(7, 5)","cell-(8, 5)",1,7,5,8,5
"cell-(7, 5)","cell-(6, 5)",1,7,5,6,5
"cell-(1, 5)","cell-(2, 5)",1,1,5,2,5
"cell-(1, 5)","cell-(0, 5)",1,1,5,0,5
"cell-(8, 5)","cell-(9, 5)",1,8,5,9,5
"cell-(8, 5)","cell-(7, 5)",1,8,5,7,5
"cell-(6, 3)","cell-(6, 4)",1,6,3,6,4
"cell-(6, 3)","cell-(5, 3)",1,6,3,5,3
"cell-(3, 3)","cell-(2, 3)",1,3,3,2,3
"cell-(3, 3)","cell-(3, 4)",1,3,3,3,4
"cell-(9, 6)","cell-(8, 6)",1,9,6,8,6
"cell-(9, 6)","cell-(9, 5)",1,9,6,9,5
"cell-(9, 6)","cell-(9, 7)",1,9,6,9,7
"cell-(6, 5)","cell-(7, 5)",1,6,5,7,5
"cell-(6, 2)","cell-(7, 2)",1,6,2,7,2
"cell-(6, 2)","cell-(5, 2)",1,6,2,5,2
"cell-(8, 3)","cell-(7, 3)",1,8,3,7,3
"cell-(8, 3)","cell-(8, 2)",1,8,3,8,2
"cell-(6, 7)","cell-(7, 7)",1,6,7,7,7
"cell-(6, 7)","cell-(6, 8)",1,6,7,6,8
"cell-(9, 7)","cell-(9, 6)",1,9,7,9,6
"cell-(9, 7)","cell-(8, 7)",1,9,7,8,7
"cell-(2, 9)","cell-(3, 9)",1,2,9,3,9
"cell-(2, 9)","cell-(2, 8)",1,2,9,2,8
"cell-(4, 4)","cell-(3, 4)",1,4,4,3,4
"cell-(4, 4)","cell-(4, 3)",1,4,4,4,3
"cell-(9, 8)","cell-(9, 9)",1,9,8,9,9
"cell-(9, 8)","cell-(8, 8)",1,9,8,8,8
"cell-(2, 7)","cell-(2, 8)",1,2,7,2,8
"cell-(2, 7)","cell-(1, 7)",1,2,7,1,7
"cell-(7, 4)","cell-(8, 4)",1,7,4,8,4
"cell-(7, 4)","cell-(6, 4)",1,7,4,6,4
"cell-(3, 0)","cell-(2, 0)",1,3,0,2,0
"cell-(3, 0)","cell-(4, 0)",1,3,0,4,0
"cell-(8, 0)","cell-(7, 0)",1,8,0,7,0
"cell-(8, 0)","cell-(9, 0)",1,8,0,9,0
"cell-(2, 3)","cell-(2, 4)",1,2,3,2,4
"cell-(2, 3)","cell-(3, 3)",1,2,3,3,3
"cell-(5, 7)","cell-(5, 8)",1,5,7,5,8
"cell-(5, 7)","cell-(4, 7)",1,5,7,4,7
"cell-(1, 3)","cell-(1, 2)",1,1,3,1,2
"cell-(1, 3)","cell-(0, 3)",1,1,3,0,3
"cell-(4, 7)","cell-(5, 7)",1,4,7,5,7
"cell-(4, 7)","cell-(4, 6)",1,4,7,4,6
"cell-(3, 1)","cell-(4, 1)",1,3,1,4,1
"cell-(3, 1)","cell-(3, 2)",1,3,1,3,2
"cell-(2, 2)","cell-(3, 2)",1,2,2,3,2
"cell-(2, 2)","cell-(1, 2)",1,2,2,1,2
"cell-(5, 3)","cell-(6, 3)",1,5,3,6,3
"cell-(5, 3)","cell-(5, 4)",1,5,3,5,4
"cell-(5, 0)","cell-(4, 0)",1,5,0,4,0
"cell-(0, 4)","cell-(0, 5)",1,0,4,0,5
"cell-(0, 4)","cell-(1, 4)",1,0,4,1,4
"cell-(8, 7)","cell-(9, 7)",1,8,7,9,7
"cell-(7, 8)","cell-(8, 8)",1,7,8,8,8
"cell-(7, 8)","cell-(7, 7)",1,7,8,7,7
"cell-(9, 1)","cell-(9, 0)",1,9,1,9,0
"cell-(9, 1)","cell-(9, 2)",1,9,1,9,2
"cell-(4, 9)","cell-(4, 8)",1,4,9,4,8
"cell-(4, 9)","cell-(3, 9)",1,4,9,3,9
"cell-(4, 9)","cell-(5, 9)",1,4,9,5,9
"cell-(0, 2)","cell-(0, 3)",1,0,2,0,3
"cell-(0, 2)","cell-(0, 1)",1,0,2,0,1
"cell-(5, 1)","cell-(5, 2)",1,5,1,5,2
"cell-(5, 1)","cell-(6, 1)",1,5,1,6,1
"cell-(4, 2)","cell-(4, 3)",1,4,2,4,3
"cell-(4, 2)","cell-(4, 1)",1,4,2,4,1
"cell-(2, 0)","cell-(2, 1)",1,2,0,2,1
"cell-(2, 0)","cell-(3, 0)",1,2,0,3,0
"cell-(2, 0)","cell-(1, 0)",1,2,0,1,0
"cell-(2, 8)","cell-(2, 9)",1,2,8,2,9
"cell-(2, 8)","cell-(2, 7)",1,2,8,2,7
"cell-(1, 8)","cell-(0, 8)",1,1,8,0,8
"cell-(1, 8)","cell-(1, 9)",1,1,8,1,9
"cell-(7, 7)","cell-(7, 8)",1,7,7,7,8
"cell-(7, 7)","cell-(6, 7)",1,7,7,6,7
"cell-(8, 9)","cell-(7, 9)",1,8,9,7,9
"cell-(8, 9)","cell-(9, 9)",1,8,9,9,9
"cell-(4, 3)","cell-(4, 4)",1,4,3,4,4
"cell-(4, 3)","cell-(4, 2)",1,4,3,4,2
"cell-(8, 2)","cell-(8, 3)",1,8,2,8,3
"cell-(8, 2)","cell-(8, 1)",1,8,2,8,1
"cell-(6, 0)","cell-(6, 1)",1,6,0,6,1
"cell-(6, 0)","cell-(7, 0)",1,6,0,7,0
"cell-(0, 7)","cell-(1, 7)",1,0,7,1,7
"cell-(0, 7)","cell-(0, 8)",1,0,7,0,8
"cell-(0, 7)","cell-(0, 6)",1,0,7,0,6
"cell-(1, 1)","cell-(0, 1)",1,1,1,0,1
