time,src MAC,des MAC,source IP,destination IP,protocol,length
1764686155.6165276,00:0c:29:da:3c:b9,01:80:c2:00:00:03,,,,
1764686157.5238514,00:0c:29:da:3c:b9,ca:01:08:2b:00:00,192.168.1.2,140.82.121.5,6,
1764686157.5353394,ca:01:08:2b:00:00,00:0c:29:da:3c:b9,192.168.1.1,192.168.1.2,1,
1764686157.5358717,00:0c:29:da:3c:b9,ca:01:08:2b:00:00,192.168.1.2,140.82.121.5,6,
1764686157.5447037,ca:01:08:2b:00:00,00:0c:29:da:3c:b9,192.168.1.1,192.168.1.2,1,
1764686157.5830212,00:0c:29:da:3c:b9,ca:01:08:2b:00:00,192.168.1.2,140.82.121.6,6,
1764686157.58572,ca:01:08:2b:00:00,00:0c:29:da:3c:b9,192.168.1.1,192.168.1.2,1,
1764686157.5991957,00:0c:29:da:3c:b9,ca:01:08:2b:00:00,192.168.1.2,140.82.121.6,6,
1764686157.606889,ca:01:08:2b:00:00,00:0c:29:da:3c:b9,192.168.1.1,192.168.1.2,1,
1764686157.6201704,00:0c:29:da:3c:b9,ca:01:08:2b:00:00,192.168.1.2,140.82.121.6,6,
1764686157.6272953,ca:01:08:2b:00:00,00:0c:29:da:3c:b9,192.168.1.1,192.168.1.2,1,
1764686157.6411912,00:0c:29:da:3c:b9,ca:01:08:2b:00:00,192.168.1.2,140.82.121.6,6,
1764686157.648635,ca:01:08:2b:00:00,00:0c:29:da:3c:b9,192.168.1.1,192.168.1.2,1,
