*
* Ovkansen zeewaterstand OS11
* WBI2017: 12-uursmaxima, gegeven windrichting
*
* Project: PR3556.10
* Door:    Chris Geerse van HKV lijn in water
* Datum:   augustus 2017
*
*
* m, m+NAP  NNO            NO             ONO            O              OZO            ZO             ZZO            Z              ZZW            ZW             WZW            W              WNW            NW             NNW            N
  1.64      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00      1.000e+00 
  1.74      4.097e-01      3.681e-01      3.404e-01      3.149e-01      3.448e-01      3.508e-01      3.313e-01      2.846e-01      2.913e-01      3.872e-01      5.146e-01      6.642e-01      6.633e-01      6.382e-01      5.815e-01      4.603e-01 
  1.84      1.683e-01      1.362e-01      1.161e-01      9.916e-02      1.192e-01      1.231e-01      1.106e-01      8.101e-02      8.489e-02      1.601e-01      2.680e-01      4.412e-01      4.400e-01      4.082e-01      3.406e-01      2.119e-01 
  1.94      6.941e-02      5.062e-02      3.963e-02      3.122e-02      4.124e-02      4.317e-02      3.714e-02      2.306e-02      2.474e-02      7.000e-02      1.415e-01      2.930e-01      2.918e-01      2.616e-01      2.006e-01      9.755e-02 
  2.04      3.056e-02      1.925e-02      1.507e-02      1.187e-02      1.568e-02      1.642e-02      1.412e-02      8.767e-03      1.184e-02      3.855e-02      8.295e-02      1.911e-01      2.017e-01      1.852e-01      1.433e-01      6.279e-02 
  2.14      1.420e-02      7.243e-03      5.671e-03      4.467e-03      5.900e-03      6.176e-03      5.313e-03      3.298e-03      5.672e-03      2.120e-02      4.866e-02      1.242e-01      1.391e-01      1.307e-01      1.020e-01      4.029e-02 
  2.24      7.037e-03      2.697e-03      2.112e-03      1.664e-03      2.197e-03      2.300e-03      1.979e-03      1.228e-03      2.717e-03      1.164e-02      2.857e-02      8.056e-02      9.581e-02      9.211e-02      7.258e-02      2.578e-02 
  2.34      3.722e-03      9.949e-04      7.788e-04      6.135e-04      8.103e-04      8.483e-04      7.298e-04      4.530e-04      1.300e-03      6.379e-03      1.680e-02      5.211e-02      6.587e-02      6.473e-02      5.151e-02      1.645e-02 
  2.44      2.082e-03      3.634e-04      2.845e-04      2.241e-04      2.960e-04      3.099e-04      2.666e-04      1.655e-04      6.221e-04      3.489e-03      9.897e-03      3.362e-02      4.521e-02      4.538e-02      3.648e-02      1.046e-02 
  2.54      1.217e-03      1.315e-04      1.029e-04      8.111e-05      1.071e-04      1.122e-04      9.647e-05      5.989e-05      2.971e-04      1.905e-03      5.845e-03      2.165e-02      3.099e-02      3.175e-02      2.579e-02      6.641e-03 
  2.64      7.320e-04      4.718e-05      3.694e-05      2.910e-05      3.844e-05      4.023e-05      3.461e-05      2.149e-05      1.416e-04      1.038e-03      3.460e-03      1.390e-02      2.121e-02      2.216e-02      1.820e-02      4.204e-03 
  2.74      4.483e-04      1.678e-05      1.314e-05      1.035e-05      1.366e-05      1.430e-05      1.231e-05      7.641e-06      6.736e-05      5.646e-04      2.055e-03      8.909e-03      1.450e-02      1.545e-02      1.282e-02      2.654e-03 
  2.84      2.775e-04      5.918e-06      4.633e-06      3.650e-06      4.821e-06      5.046e-06      4.342e-06      2.695e-06      3.196e-05      3.066e-04      1.224e-03      5.698e-03      9.891e-03      1.074e-02      9.015e-03      1.672e-03 
  2.94      1.727e-04      2.070e-06      1.621e-06      1.277e-06      1.686e-06      1.765e-06      1.519e-06      9.427e-07      1.513e-05      1.660e-04      7.319e-04      3.636e-03      6.741e-03      7.453e-03      6.324e-03      1.051e-03 
  3.04      1.077e-04      7.184e-07      5.624e-07      4.430e-07      5.852e-07      6.126e-07      5.270e-07      3.271e-07      7.142e-06      8.976e-05      4.390e-04      2.316e-03      4.588e-03      5.163e-03      4.431e-03      6.590e-04 
  3.14      6.717e-05      2.474e-07      1.937e-07      1.526e-07      2.015e-07      2.109e-07      1.815e-07      1.127e-07      3.363e-06      4.842e-05      2.642e-04      1.472e-03      3.118e-03      3.570e-03      3.099e-03      4.124e-04 
  3.24      4.186e-05      8.454e-08      6.619e-08      5.214e-08      6.887e-08      7.210e-08      6.203e-08      3.850e-08      1.579e-06      2.606e-05      1.595e-04      9.339e-04      2.116e-03      2.464e-03      2.163e-03      2.575e-04 
  3.34      2.607e-05      2.868e-08      2.245e-08      1.769e-08      2.337e-08      2.446e-08      2.104e-08      1.306e-08      7.394e-07      1.400e-05      9.665e-05      5.915e-04      1.435e-03      1.698e-03      1.508e-03      1.605e-04 
  3.44      1.620e-05      9.663e-09      7.564e-09      5.958e-09      7.869e-09      8.238e-09      7.088e-09      4.400e-09      3.453e-07      7.499e-06      5.871e-05      3.739e-04      9.718e-04      1.169e-03      1.049e-03      9.979e-05 
  3.54      1.005e-05      3.232e-09      2.530e-09      1.993e-09      2.632e-09      2.756e-09      2.371e-09      1.472e-09      1.608e-07      4.011e-06      3.576e-05      2.359e-04      6.570e-04      8.026e-04      7.289e-04      6.194e-05 
  3.64      6.226e-06      1.073e-09      8.404e-10      6.620e-10      8.744e-10      9.153e-10      7.875e-10      4.888e-10      7.469e-08      2.140e-06      2.183e-05      1.486e-04      4.437e-04      5.504e-04      5.056e-04      3.837e-05 
  3.74      3.850e-06      3.542e-10      2.773e-10      2.184e-10      2.885e-10      3.020e-10      2.598e-10      1.613e-10      3.460e-08      1.139e-06      1.336e-05      9.348e-05      2.993e-04      3.769e-04      3.501e-04      2.373e-05 
  3.84      2.377e-06      1.161e-10      9.090e-11      7.161e-11      9.461e-11      9.902e-11      8.517e-11      5.287e-11      1.598e-08      6.051e-07      8.191e-06      5.870e-05      2.016e-04      2.576e-04      2.420e-04      1.465e-05 
  3.94      1.464e-06      3.781e-11      2.960e-11      2.332e-11      3.080e-11      3.224e-11      2.774e-11      1.722e-11      7.366e-09      3.208e-07      5.029e-06      3.680e-05      1.357e-04      1.759e-04      1.671e-04      9.024e-06 
  4.04      9.004e-07      1.224e-11      9.584e-12      7.548e-12      9.967e-12      1.044e-11      8.980e-12      5.573e-12      3.386e-09      1.697e-07      3.090e-06      2.303e-05      9.122e-05      1.199e-04      1.152e-04      5.550e-06 
  4.14      5.529e-07      3.936e-12      3.082e-12      2.428e-12      3.206e-12      3.357e-12      2.888e-12      1.793e-12      1.553e-09      8.959e-08      1.902e-06      1.440e-05      6.123e-05      8.165e-05      7.930e-05      3.408e-06 
  4.24      3.389e-07      1.258e-12      9.850e-13      7.762e-13      1.025e-12      1.073e-12      9.234e-13      5.731e-13      7.100e-10      4.718e-08      1.171e-06      8.984e-06      4.106e-05      5.551e-05      5.451e-05      2.089e-06 
  4.34      2.075e-07      4.000e-13      3.132e-13      2.467e-13      3.258e-13      3.410e-13      2.934e-13      1.821e-13      3.239e-10      2.480e-08      7.211e-07      5.599e-06      2.750e-05      3.769e-05      3.741e-05      1.279e-06 
  4.44      1.268e-07      1.264e-13      9.896e-14      7.793e-14      1.029e-13      1.078e-13      9.270e-14      5.754e-14      1.475e-10      1.301e-08      4.442e-07      3.484e-06      1.840e-05      2.555e-05      2.564e-05      7.813e-07 
  4.54      7.734e-08      3.970e-14      3.108e-14      2.448e-14      3.233e-14      3.385e-14      2.912e-14      1.808e-14      6.698e-11      6.808e-09      2.737e-07      2.165e-06      1.229e-05      1.730e-05      1.755e-05      4.767e-07 
