cmake 3.31.10
cmake-project-include.cmake 786c7ed9564910e6b106d21eb0ff554abcd79030d97b5feee0cdad98d1e5e631
curl 63a03d8f8f593f6bbd009c727852f5951a853018fba53129c2357a29cca6842c
expat 7b0be774baf5e4ad44f361735d38b15cda1b4cec1af44da9b63d11dc3e744bc3
features core;curl;expat;geos;gif;hdf5;iconv;jpeg;lerc;libkml;libspatialite;libxml2;lzma;netcdf;openjpeg;openssl;pcre2;png;postgresql;qhull;recommended-features;sqlite3;webp;zstd
find-link-libraries.patch 043cbdd6298fce33c29d128241470b71990dc13eb63bfa44b3d82b17f5384468
fix-gdal-target-interfaces.patch 9dbe9d5e0dbc3a21370bb3560aa32811d10cc0b19e4b6833cd7258699d206215
geos 1a3c288453e7d44b253446b693537c7a277b4b04a647a23b16c32394fed4deef
giflib 69276663af0a1168b3db848d8cf5d38be7f1cbbec611a2bc918cd7df4d625768
hdf5 bee74753d8ecd059dbc11dd7ed3e230d03df08420cafa9cb0653b8f2b2cf4707
json-c 39317160bed154d3f9e218279cd08963f85b03f25477a127a7d1774e34ad4c43
lerc 94e87cd96fb7b55a38ed9e2892d31d256a06768d66b9f8b573c24138381e0bcf
libgeotiff bbaf60e77b72adb6ee94c1736e9afe88363eee6d869d88451ca5086adc03b261
libiconv 99459594035d87763c8da197f69364d3da649bc56f6683b945eb6466d6a72e47
libjpeg-turbo a21c7810e1742b825d9c032857809a953fcdc92695bd0fbc680cd77f21db3f94
libkml 9d8c5a3eedc919b3264f9321facfff8f798534591e6a04af0a5bebce53f45011
libkml.patch fe888df8a7c9e468cdd87640c025f48f165d5264af1fa20604bd60859e6f000f
liblzma efd3cc5bd308a9caa2af49625b6e46da4d3c54b18e8a99f75a2723d8a22b1c9b
libpng f97d6730d1ed09c4ead86f66f8c62b195ea5241a470b7c415c8518ccf384f100
libpq ef095e7da12f91cb50af201c26f787da7598fa0a3d53f3a7907be91027b350ad
libspatialite fd053145c369651ffecafe246913e4c39d03c61cf49fbedfb452b398d4a16c61
libwebp 8431ef5482803330b583d4bc76b1b7aaf3d2931205f043d5aea11f0c978e9afc
libxml2 1be58c7aef9a69af56783b92f9c3de8ce4ef6cb116be4a6bf56355c42ef93151
netcdf-c 70e2a7c7cdf3db987922f2a03aec9cfb35ad31e7484ad2132df75ea7f55e3766
openjpeg 0ac8dc77a46eb9121fec8416286db6bc910e8409206763d995f5f2b938d5815e
openssl 1a8aff2e3979130ea7468c40363b48fa63a25279ed4595e92158e2a25ddf2b5a
pcre2 2f6d20630a6e0756b61668670cffb66ae13a17ee2910d29bdade02a7f95f24bb
pkgconf 786e9fbf34629688400058c83386aa1969a1d77d5e80643e0b6e3676933b8170
portfile.cmake 79c1967e83f5c1188f5a1219d8d2fc903c5099a7404cafa778080521ce78ab3a
ports.cmake f4cc0e4d312b743fcb1e9b680c66d17bb556996dc267dc1301eac9037608a378
post_build_checks 2
powershell 7.5.4
proj d1b2726817280e15391d4633d80a5d10b13a0bbf6af7cf239444304bf00eb0f3
qhull e2b2c3b2f8fe224b8bad904aec58e16a496a7ecfae1936d51d5ba7f4a99a32ee
sbom_info 1
sqlite3 441fc8535d5f8e67d56d50d8f3aac143e1e3b512be9cd960da11b7654f8506a9
sqlite3.diff 656f219e949cd82fa76b827ea877c74fa998de6cc5535917ab9969b7cfeee510
target-is-valid.patch d9404cebec6e0f7dc6ae92af733ebad86584eafc40742c916603a8338acfcd15
tiff 5a6b054aaf91eb11d00b0985dc999b88ee67557b11c2c6e90d8b88dc10448af0
triplet arm64-windows
triplet_abi c09ec72a5edf0ffd790946be353f1dcdcc5c21e112250fde92567537a922e574-1d3d767ab10b488977977b83f6c2da7e06afd80b1e375a2a41c60c343e7b3f94-8cb6674d3f9c892c619a08ad0e62e510b37a0076
usage c85584261e2011a94b86f04c3a28dd2e165c9e6b47677a9bee26a3d387bc05f2
vcpkg-cmake 8f1e0732e6de16b103db839653acc990d8651d140babc949fe70b657e5c0ed4e
vcpkg-cmake-config 065465c061a190caeed03005e81ccae0f5da3b2715566b7943f994371d4aac73
vcpkg-cmake-wrapper.cmake c507eaa077072e9877607fd5f70381eebf19900661e2e1fd099d84c4df1b8c24
vcpkg-pkgconfig-get-modules 176140c55b1d65009f3aedf55ec4d0eda4b652921037121d80e7bb65d42059fe
vcpkg.json 924ef002344306a4884ac625bb4b2ae451bc4b8b19eeaa1fa17b18d2348d0a34
vcpkg_check_features 943b217e0968d64cf2cb9c272608e6a0b497377e792034f819809a79e1502c2b
vcpkg_copy_pdbs d15c2f2822d93ecb9023af44803328e491c5374136e0813600289582a72d196d
vcpkg_copy_tools 3d45ff761bddbabe8923b52330168dc3abd295fa469d3f2e47cb14dce85332d5
vcpkg_fixup_pkgconfig 1a15f6c6d8e2b244d83a7514a0412d339127d2217d1df60ad1388b546c85f777
vcpkg_from_git 460eafee5849bf3eee8cb89337a4ff8ed5461026b0becfb3f1f7d11a00cdc6f0
vcpkg_from_github 1284881728e98a182fc63e841be04e39b8c94753fdc361603c72a63c1adcf846
vcpkg_install_copyright ba6c169ab4e59fa05682e530cdeb883767de22c8391f023d4e6844a7ec5dd3d2
vcpkg_replace_string b450deb79207478b37119743e00808ebc42de0628e7b98c14ab24728bd5c78b8
zlib 8bdbc44b6226cbb2bf2899a1b02e2b55ed03b5975ca18b70a84ff50d38d97fcc
zstd 05764222bc2d1233ac85e3539c89b788d57f81cea62bb34c398464dad353941f
