X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12
Germany	G	234	South	A	g	q	e	s	No	44	Z
Germany	J	920	West	A	c	n	f	x	No	32	K
Canada	I	323	East	B	w	v	p	t	Yes	36	A
Canada	S	265	West	C	v	c	x	o	No	45	Y
Germany	D	316	West	C	z	h	u	g	Yes	14	S
France	N	389	South	A	o	n	w	d	No	16	J
India	Q	680	South	B	u	s	k	a	Yes	23	U
USA	K	171	East	A	e	o	d	h	Yes	33	V
Canada	G	687	West	B	h	x	l	t	Yes	40	M
Germany	U	674	South	A	s	q	n	y	No	40	K
France	L	240	South	C	j	w	s	p	No	10	K
Germany	O	821	East	C	r	k	y	x	Yes	25	Y
Germany	J	964	East	B	j	g	g	v	Yes	8	T
USA	M	958	West	C	l	o	v	k	No	18	Z
India	G	252	North	A	b	w	z	p	Yes	9	G
USA	I	393	South	B	j	z	i	t	Yes	7	Y
USA	I	376	South	B	v	f	g	h	No	7	W
France	J	562	North	C	l	n	b	c	No	10	Z
Germany	W	140	South	B	t	g	p	d	Yes	24	T
Canada	U	530	West	A	n	j	m	t	No	23	X
