"","l","n","Cab","Car","Cbrown","Cw","Cm"
"92",491,1.5015,0.03571,0.115,0.426,0.0001849,2.554
"93",492,1.4994,0.03455,0.1132,0.4247,0.000189,2.536
"94",493,1.4971,0.03335,0.1114,0.4234,0.0001934,2.519
"95",494,1.4947,0.03215,0.1096,0.4221,0.000198,2.502
"96",495,1.4921,0.03094,0.1076,0.4208,0.0002031,2.486
"97",496,1.4894,0.02972,0.1056,0.4195,0.000209,2.471
"98",497,1.4866,0.0285,0.1035,0.4183,0.0002158,2.457
"99",498,1.4837,0.0273,0.1013,0.417,0.000223,2.443
"100",499,1.4807,0.02615,0.09901,0.4157,0.0002303,2.43
"101",500,1.4776,0.02502,0.0966,0.4144,0.000238,2.417
"102",501,1.4744,0.02392,0.0942,0.4135,0.0002463,2.405
"103",502,1.4712,0.02284,0.09179,0.4127,0.000255,2.394
"104",503,1.468,0.02179,0.08939,0.4118,0.000264,2.384
"105",504,1.4647,0.02077,0.08699,0.4109,0.000273,2.374
"106",505,1.4615,0.01979,0.0846,0.41,0.0002819,2.365
"107",506,1.4583,0.01883,0.08221,0.4092,0.000291,2.356
"108",507,1.4553,0.0179,0.07983,0.4083,0.0003004,2.348
"109",508,1.4523,0.01702,0.07746,0.4074,0.00031,2.341
"110",509,1.4495,0.01617,0.0751,0.4065,0.0003194,2.334
"111",510,1.4468,0.01536,0.07275,0.4057,0.000329,2.328
"112",511,1.4443,0.01458,0.07041,0.4047,0.000339,2.323
"113",512,1.4419,0.01383,0.06809,0.4038,0.000349,2.318
"114",513,1.4397,0.01312,0.06578,0.4028,0.0003588,2.314
"115",514,1.4377,0.01246,0.06349,0.4019,0.000368,2.31
"116",515,1.436,0.01183,0.06122,0.4009,0.0003767,2.307
"117",516,1.4344,0.01126,0.05897,0.4,0.000386,2.304
"118",517,1.4331,0.01074,0.05673,0.399,0.0003962,2.303
"119",518,1.4319,0.01027,0.05453,0.3981,0.000404,2.301
"120",519,1.431,0.009855,0.05234,0.3971,0.0004069,2.3
"121",520,1.4302,0.00949,0.05018,0.3962,0.000409,2.3
"122",521,1.4296,0.009176,0.04805,0.3952,0.0004138,2.3
"123",522,1.4291,0.00891,0.04594,0.3943,0.000416,2.3
"124",523,1.4288,0.008698,0.04387,0.3933,0.0004112,2.3
"125",524,1.4286,0.008542,0.04182,0.3924,0.000409,2.3
"126",525,1.4286,0.008437,0.03981,0.3914,0.0004176,2.3
"127",526,1.4286,0.008381,0.03783,0.3905,0.000427,2.3
"128",527,1.4287,0.008373,0.03588,0.3895,0.0004268,2.3
"129",528,1.4288,0.008411,0.03397,0.3886,0.000423,2.3
"130",529,1.429,0.008486,0.0321,0.3876,0.0004237,2.3
"131",530,1.4292,0.008595,0.03026,0.3867,0.000429,2.3
"132",531,1.4294,0.008735,0.02847,0.3846,0.0004371,2.3
"133",532,1.4296,0.008905,0.02672,0.3824,0.000445,2.3
"134",533,1.4298,0.009098,0.02501,0.3803,0.0004506,2.3
"135",534,1.43,0.009313,0.02334,0.3782,0.000456,2.3
"136",535,1.4302,0.009544,0.02172,0.376,0.0004631,2.3
"137",536,1.4303,0.009789,0.02015,0.3739,0.00047,2.3
"138",537,1.4305,0.01004,0.01863,0.3718,0.0004748,2.3
"139",538,1.4306,0.0103,0.01715,0.3696,0.00048,2.3
"140",539,1.4307,0.01056,0.01573,0.3675,0.0004879,2.3
"141",540,1.4308,0.01083,0.01436,0.3654,0.000495,2.3
"142",541,1.4309,0.01108,0.01304,0.3639,0.0004983,2.3
"143",542,1.4309,0.01133,0.01178,0.3625,0.000503,2.3
"144",543,1.431,0.01157,0.01057,0.3611,0.0005141,2.3
"145",544,1.431,0.0118,0.00942,0.3597,0.000527,2.3
"146",545,1.431,0.01201,0.00833,0.3582,0.0005363,2.3
"147",546,1.4309,0.01221,0.007301,0.3568,0.000544,2.3
"148",547,1.4308,0.01239,0.006334,0.3554,0.0005532,2.3
"149",548,1.4307,0.01256,0.005429,0.354,0.000564,2.3
"150",549,1.4305,0.01271,0.004589,0.3525,0.0005759,2.3
"151",550,1.4303,0.01286,0.003816,0.3511,0.000588,2.3
